phrase_number,composition_number,start_measure,cadence_role_cantz,cadence_alter,cadence_final_tone,stop_measure,cadence_role_tenz,cadence_kind,cadence_final_tone_before,cadence_final_tone_after,cadence_kind_before,cadence_kind_after,final_cadence
"DC0913.1: Tant plus sur toy sont arrestez mes yeulx,",DC0913: Tant plus sur toy sont arrestez mes yeulx,4,Ct,Displaced,D,4,B,Phrygian,None,G,None,Authentic,D
"DC0912.8: Amour, et moy.",DC0912: Amour et moy avons faict accointance,41,T,"Displaced, Inverted, Evaded",G,42,Ct,Authentic,D,None,Authentic,None,G
"DC0912.7: Et demeurons en paix, et union,",DC0912: Amour et moy avons faict accointance,38,S,None,D,39,T,Authentic,G,G,Authentic,Authentic,G
"DC0912.6: Si je voy cler, mes yeulx sont sans doubtance,",DC0912: Amour et moy avons faict accointance,31,S,None,G,32,T,Authentic,D,D,Authentic,Authentic,G
"DC0912.5: Pour parvenir à consolation,",DC0912: Amour et moy avons faict accointance,25,T,"Displaced, Inverted, Evaded",D,26,Ct,Authentic,B-flat+B-flat+D,G,Authentic+Authentic+Authentic,Authentic,G
"DC0912.4: De pourchasser, et vivre en esperance,",DC0912: Amour et moy avons faict accointance,21,S,None,B-flat,22,T,Authentic,B-flat,D+D,Authentic,Authentic+Authentic,G
DC0912.3: Et bon espoir me donne intention,DC0912: Amour et moy avons faict accointance,15,T,Displaced,B-flat,16,B,Authentic,G,B-flat+B-flat,Authentic,Authentic+Authentic,G
"DC0912.2: En pourchassant la mienne affection,",DC0912: Amour et moy avons faict accointance,11,S,None,G,12,T,Authentic,D,B-flat,Phrygian,Authentic,G
"DC0912.1: Amour, et moy avons faict accoinctance,",DC0912: Amour et moy avons faict accointance,7,Ct,Displaced,D,7,B,Phrygian,G,G,CadInCad,Authentic,G
"DC0911.10: Car un seul cœur, à deux servir ne peult.",DC0911: Amour du coeur vient et prend sa naissance,52,S,None,G,52,T,Authentic,D,None,Plagal,None,G
"DC0911.7: A un Amour, lequel contente, et garde,",DC0911: Amour du coeur vient et prend sa naissance,30,None,None,D,30,None,Plagal,D,G,Authentic,Authentic,G
DC0911.5: Amour avoir du cœur fruiction,DC0911: Amour du coeur vient et prend sa naissance,21,T,"Displaced, Inverted, Evaded",D,22,Ct,Authentic,G,D,Authentic,Plagal,G
"DC0911.2: Et au cœur fait son habitation,",DC0911: Amour du coeur vient et prend sa naissance,6,T,"Displaced, Inverted, Evaded",D,6,Ct,Authentic,None,G,None,Authentic,G
DC0910.10: Le vostre n'est pas assez chault.,"DC0910: Mais dont vient que vous, damoyselles",30,S,None,G,31,T,Authentic,B-flat,None,Plagal,None,G
"DC0910.9: Son feu surmonte la froidure,","DC0910: Mais dont vient que vous, damoyselles",26,None,None,B-flat,26,None,Plagal,D,G,Phrygian,Authentic,G
"DC0910.8: Et pourquoy, dire le vous fault,","DC0910: Mais dont vient que vous, damoyselles",21,B,"Displaced, Inverted",D,22,Ct,Phrygian,B-flat,B-flat,Authentic,Plagal,G
"DC0910.7: Tout aussi beau, qu'une paincture,","DC0910: Mais dont vient que vous, damoyselles",18,T,Displaced,B-flat,18,B,Authentic,B-flat+B-flat,D,Authentic+Authentic,Phrygian,G
"DC0910.6: Le sien contre le froid, et dure","DC0910: Mais dont vient que vous, damoyselles",15,S,None,B-flat,15,T,Authentic,D+B-flat,B-flat+B-flat,Authentic+Authentic,Authentic+Authentic,G
DC0910.5: Voyez m'amye a defendu,"DC0910: Mais dont vient que vous, damoyselles",11,S,None,D,11,T,Authentic,G+G+D,B-flat+B-flat,Authentic+Authentic+Authentic,Authentic+Authentic,G
"DC0910.2: Avez si tost tout morfondu,","DC0910: Mais dont vient que vous, damoyselles",7,S,None,G,8,T,Authentic,D,D+D,Plagal,Authentic+Authentic,G
"DC0910.1: Mais dont vient, que vous damoyselles?","DC0910: Mais dont vient que vous, damoyselles",4,None,None,D,4,None,Plagal,None,D,None,Plagal,G
"DC0909.8: Qu'en despit d'elle vit, ce qu'est contraire.",DC0909: Si Salamandre en flamme vit c'est peu,44,S,None,D,45,T,Authentic,D+D,None,CadInCad+CadInCad,None,D
"DC0909.7: Amour le faict de nature adversaire,",DC0909: Si Salamandre en flamme vit c'est peu,38,T,"Displaced, Inverted, Evaded",D,39,Ct,CadInCad,A,D,CadInCad,Authentic,D
"DC0909.6: Fondre debvroit, et si devient plus dure ",DC0909: Si Salamandre en flamme vit c'est peu,33,S,None,A,34,T,CadInCad,A+A+A,D+D,Authentic+CadInCad+Authentic,CadInCad+CadInCad,D
DC0909.5: Qui la defend en un si ardant lieu?,DC0909: Si Salamandre en flamme vit c'est peu,27,None,None,A,27,None,Plagal,D+D,A,Authentic+Authentic,Plagal,D
"DC0909.2: Merveilles n'ay des œuvres de nature,",DC0909: Si Salamandre en flamme vit c'est peu,11,S,None,D,12,T,Authentic,A+A,A+A,Authentic+Authentic,Plagal+Plagal,D
"DC0909.1: Si Salamandre en flamme vit, c'est peu,",DC0909: Si Salamandre en flamme vit c'est peu,5,B,"Displaced, Inverted",A,6,Ct,Authentic,None,D+D,None,Authentic+Authentic,D
"DC0908.3: Tant ay de peur, et sur moy peult envie,","DC0908: Las, si amour nouveau conseil n'apporte",27,Ct,Displaced,B-flat,28,B,Authentic,D,None,Authentic,None,B-flat
"DC0908.2: En brief seray contrainct changer ma vie,","DC0908: Las, si amour nouveau conseil n'apporte",17,S,Incomplete,D,18,T,Authentic,G,B-flat+B-flat,Authentic,Authentic+Authentic,B-flat
"DC0908.1: Las, si Amour nouveau conseil n’apporte,","DC0908: Las, si amour nouveau conseil n'apporte",8,S,None,G,9,T,Authentic,None,D,None,Authentic,B-flat
"DC0907.6: De vostre cœur, que n'en sçay la pensée ",DC0907: Je suis honteux et n'ose descouvrir,20,Ct,Displaced,D,21,B,Phrygian,D,None,Authentic,None,D
DC0907.5: Je luy diray dame trop il m'ennuye,DC0907: Je suis honteux et n'ose descouvrir,15,S,None,D,16,T,Authentic,G,D,Authentic,Authentic,D
"DC0907.2: La bonne amour, que j'ay envers m'amye,",DC0907: Je suis honteux et n'ose descouvrir,9,S,None,G,10,T,Authentic,None,G,None,Authentic,D
"DC0906.8: Mais ne sentoit rose, ny marjoulaine,",DC0906: A ce matin d'un beau bouquet de rose,30,T,"Displaced, Inverted, Evaded",D,31,Ct,Authentic,D+D,None,Authentic+Authentic,None,D
DC0906.7: Bien je le voy de belles fleurs orné ,DC0906: A ce matin d'un beau bouquet de rose,24,S,None,D,25,T,Authentic,B-flat+D,D+D,Authentic+Authentic,Authentic+Authentic,D
"DC0906.6: Prendre l'odeur, de ce bouquet donné,",DC0906: A ce matin d'un beau bouquet de rose,20,S,None,B-flat,21,T,Authentic,G+B-flat,D+D,Authentic+Authentic,Authentic+Authentic,D
DC0906.5: Que tost apres le departir pensant,DC0906: A ce matin d'un beau bouquet de rose,16,,,A,17,,Plagal,G,G+B-flat,Authentic,Authentic+Authentic,D
"DC0906.2: Celle qui a mon cœur m'a faict present,",DC0906: A ce matin d'un beau bouquet de rose,10,S,None,G,11,T,Authentic,D,A+A,Authentic,Plagal+Plagal,D
"DC0906.1: A ce matin d'un beau bouquet de rose,",DC0906: A ce matin d'un beau bouquet de rose,6,T,Displaced,D,6,B,Authentic,D,G,CadInCad,Authentic,D
DC0905.6: A votre guise.,DC0905: Je ne suis pas si sot berger,25,S,None,G,26,T,Authentic,B-flat,G,Authentic,Authentic,G
"DC0905.4: Cotte, et chemise,",DC0905: Je ne suis pas si sot berger,19,S,None,B-flat,20,T,CadInCad,G,B-flat,Authentic,Authentic,G
"DC0905.2: Si vous tenois à mon coucher,",DC0905: Je ne suis pas si sot berger,16,S,None,G,16,T,Authentic,G,B-flat+B-flat+B-flat,Authentic,CadInCad+Authentic+Authentic,G
"DC0905.1: Je ne suis pas si sot berger,",DC0905: Je ne suis pas si sot berger,8,S,None,G,8,T,Authentic,G+G,G,Authentic+Authentic,Authentic,G
"DC0904.8: Que tant plus froide elle est, plus croist ma flamme.",DC0904: Si je cuidois (pour gemir et complaindre),27,S,None,G,29,T,Authentic,D,None,Authentic,None,G
"DC0904.7: O cas estrange, et de compassion,",DC0904: Si je cuidois (pour gemir et complaindre),21,Ct,Displaced,D,22,B,Phrygian,B-flat,D,Authentic,Authentic,G
DC0904.6: Tant plus la prie (à m'aymer) moins s'enflamme ,DC0904: Si je cuidois (pour gemir et complaindre),16,S,None,B-flat,17,T,Authentic,D+B-flat,D,Authentic+Authentic,Phrygian,G
"DC0904.5: Tant plus je plains, plus croist ma passion ",DC0904: Si je cuidois (pour gemir et complaindre),12,S,None,D,13,T,Authentic,G,D,Authentic,Authentic,G
"DC0904.2: Faire eschauffer sa froide affection,",DC0904: Si je cuidois (pour gemir et complaindre),8,S,None,G,9,T,Authentic,D,D+D,CadInCad,Authentic+Authentic,G
"DC0904.1: Si je cuidois (pour gemir, et complaindre)",DC0904: Si je cuidois (pour gemir et complaindre),4,T,"Displaced, Inverted, Incomplete, Evaded",D,6,B,CadInCad,D+D,G,Authentic+Authentic,Authentic,G
"DC0903.6: A deux amantz, que ce fascheux adieu?",DC0903: Si l'amyitié n'est que conjonction,21,B,"Displaced, Inverted",A,21,Ct,Phrygian,D+D+D,None,CadInCad+CadInCad+CadInCad,None,A
"DC0903.5: Las y a il, qui plus estrange semble",DC0903: Si l'amyitié n'est que conjonction,15,T,"Displaced, Incomplete, Evaded",D,16,Ct,CadInCad,D,A,Authentic,Phrygian,A
"DC0903.2: De deux moytiez, qui se suivent ensemble,",DC0903: Si l'amyitié n'est que conjonction,10,S,,D,10,T,Authentic,A+D,D,Authentic+Authentic,Authentic,A
DC0903.1: Si l'amytié n'est que conjonction,DC0903: Si l'amyitié n'est que conjonction,4,S,None,A,4,T,Authentic,A,D+D+D,Authentic,Authentic+Authentic+Authentic,A
DC0902.4: Que point nostre amour changera.,DC0902: Faisons le dire mensonger,25,S,None,D,26,T,Authentic,F+F,D,Authentic+Authentic,Authentic,D
"DC0902.3: Montrant par l'effect qu'on voirra,",DC0902: Faisons le dire mensonger,19,S,Evaded,F,20,T,Authentic,A,D+D,Authentic,Authentic+Authentic,D
"DC0902.2: Que tout soubz le ciel doibt changer,",DC0902: Faisons le dire mensonger,15,S,Displaced,A,16,Ct,Authentic,A+A+A,F+F,Authentic+Authentic+Authentic,Authentic+Authentic,D
"DC0902.1: Faisons le dire mensonger,",DC0902: Faisons le dire mensonger,4,S,Displaced,A,5,Ct,Authentic,None,A+A,None,Authentic+Authentic,D
"DC0901.8: A mon amy, qui m'ayme si tresfort,",DC0901: Je ne cognois femme en ceste contrée,38,S,,E,39,T,Phrygian,A+F,None,Phrygian+Authentic,None,E
DC0901.7: Mais je ne puis sans vouloir contredire,DC0901: Je ne cognois femme en ceste contrée,33,S,"Evaded, Doubtful",F,34,T,Authentic,A,A+F,Phrygian,Phrygian+Authentic,E
DC0901.6: Garder les gens de notre amour mesdire ,DC0901: Je ne cognois femme en ceste contrée,29,T,Displaced,A,30,B,Phrygian,A,F+A+F,Authentic,Authentic+Phrygian+Authentic,E
"DC0901.5: Bien je vouldrois avoir l'invention,",DC0901: Je ne cognois femme en ceste contrée,24,S,None,A,25,T,Authentic,D,A,Authentic,Authentic,E
"DC0901.2: Que comme moy ayt tant de passion,",DC0901: Je ne cognois femme en ceste contrée,10,S,None,D,11,T,Authentic,None,A+A,None,Authentic+Authentic,E
DC0525.7: Par nostre dame il fault argent.,DC0525: Recepte pour un flux de bourse,36,None,None,G,37,None,Plagal,G+G,None,Authentic+Authentic,None,C
"DC0525.6: D’habiter la belle au corps gent,",DC0525: Recepte pour un flux de bourse,29,T,"Inverted, Evaded",C,30,S,CadInCad,C+G,G+G,Authentic+Authentic,Authentic+Authentic,C
DC0525.4: Car en dormant rien ne vous nuit:,DC0525: Recepte pour un flux de bourse,22,S,Displaced,C,23,Ct,Authentic,C+C+C,C,Authentic+Authentic+Authentic,Authentic,C
"DC0524.8: Car tel amour n’est jamais imperfaict,",DC0524: Tels menus plaidz conferment les amours,28,T,Displaced,C,29,B,Authentic,C+C,C+C,Authentic+Authentic,Plagal+Plagal,G
"DC0524.7: S’aiment tousjours sans guerre, et sans picque,",DC0524: Tels menus plaidz conferment les amours,28,T,Displaced,C,29,B,Authentic,C+C,C+C,Authentic+Authentic,Plagal+Plagal,G
"DC0524.5: Mais vrais amans, qui ont leurs cœurs conjoinctz",DC0524: Tels menus plaidz conferment les amours,17,T,Displaced,C,18,B,Authentic,G+G+G,C+C,Authentic+Authentic+Authentic,Authentic+Authentic,G
DC0524.2: De ceulx qui sont de fol plaisir attaintz.,DC0524: Tels menus plaidz conferment les amours,4,S,None,G,5,T,Authentic,C,G+G+G,Authentic,Authentic+Authentic+Authentic,G
"DC0522.8: Pour forger le fort Hercules,",DC0522: Qui diable nous a faict ces jours,31,T,"Displaced, Inverted, Evaded",C,31,Ct,Authentic,C,E+E,Authentic,Plagal+Plagal,G
"DC0522.4: Et semble qui soient envieux,",DC0522: Qui diable nous a faict ces jours,15,Ct,,E,15,B,Phrygian,C+C,E,Plagal+Plagal,Phrygian,G
"DC0521.9: Or bien, dict elle je m’en vois donc estendre,",DC0521: Jehan se jouant un jour avec Jehannette,38,,,C,39,,Plagal,G+G,C+C,Authentic+Authentic,Authentic+Authentic,C
"DC0521.3: Helas dict elle je suis par trop jeunette,",DC0521: Jehan se jouant un jour avec Jehannette,6,S,,C,7,T,Authentic,E,C,Plagal,Plagal,C
"DC0520.9: Tout beau paix la laissez moy dire,",DC0520: Quelque yvrongne de par le monde,40,T,Displaced,C,41,B,Authentic,G+G,C+C+C,Authentic+Authentic,CadInCad+CadInCad+CadInCad,C
"DC0519.5: pour toy, suis en peine immortelle,","DC0519: Si je te voy, qui est ce que desire",19,None,None,C,20,None,Plagal,C+C,C+C,Authentic+Authentic,Authentic+Authentic,C
"DC0519.2: Plus fort je sentz que ma flamme estincelle,","DC0519: Si je te voy, qui est ce que desire",7,T,"Displaced, Inverted",C,8,B,Authentic,E+E,C+C,Plagal+Plagal,Authentic+Authentic,C
"DC0517.8: Pour eviter de terre la froidure,",DC0517: Un jour dormoit Colin en my des prez,32,Ct,Displaced,F,33,B,CAD NDLT,C+C+C,F,Authentic+Authentic+Authentic,CAD NDLT,F
"DC0517.2: En pleine terre, et Janeton s’amie",DC0517: Un jour dormoit Colin en my des prez,5,Ct,Displaced,F,6,B,CAD NDLT,None,F+F,None,Authentic+Authentic,F
DC0517.1: Un jour dormoit Colin en my des prez,DC0517: Un jour dormoit Colin en my des prez,5,Ct,Displaced,F,6,B,CAD NDLT,None,F+F,None,Authentic+Authentic,F
"DC0516.5: Sainctz innocentz plains de devotion,",DC0516: Il est permis trouver au lict s'amie,17,B,"Displaced, Inverted",C,18,Ct,Authentic,C,G+G,Authentic,Authentic+Authentic,F
"DC0515.9: On y verroit, ou on n’auroit point d’yeulx,",DC0515: Où cerchez-vous du dieu d'amour l'empire,32,T,"Displaced, Inverted, Evaded",F,33,Ct,CadInCad,F+F+F,F+F,Authentic+Authentic+Authentic,Authentic+Authentic,F
"DC0515.8: Et qui viendroit le fendre par moytié,",DC0515: Où cerchez-vous du dieu d'amour l'empire,30,S,None,F,31,T,Authentic,D+A,F,Plagal+Phrygian,CadInCad,F
DC0514.5: Car j’ay espoir que bien tost accompli,DC0514: Puisque tu veulx mettre fin à ta plaincte,15,Ct,Displaced,E,16,B,Phrygian,A+A,A+A,Authentic+Authentic,Authentic+Authentic,E
DC0513.7: Car j’aime mieulx nostre amitié finie,DC0513: Je ne veulx plus de mon malheur me plaindre,25,T,"Displaced, Inverted, Evaded",C,26,Ct,Authentic,A+A+C,E,Authentic+Authentic+Authentic,Phrygian,E
DC0512.8: Cela seul si me rend content.,DC0512: Quand je voy ma mignonne rire,18,S,None,G,20,T,Authentic,D+D,None,Authentic+Authentic,None,D
"DC0512.7: Or sus donc mectz toy a ton aise,",DC0512: Quand je voy ma mignonne rire,15,S,Evaded,D,16,T,Authentic,A,G+G+G,Plagal,Authentic+Authentic+Authentic,D
"DC0512.6: Ce pauvre cœur, qui se deult tant,",DC0512: Quand je voy ma mignonne rire,12,Ct,"Displaced, Evaded",E,13,T,Authentic,D+D,A,Authentic+Authentic,Plagal,D
DC0512.5: On ha beau faire s’il s’appaise,DC0512: Quand je voy ma mignonne rire,11,B,"Displaced, Inverted",D,11,Ct,Authentic,D,E+A,Authentic,Authentic+Plagal,D
"DC0512.4: Rien ne puis voir lors qui me plaise,",DC0512: Quand je voy ma mignonne rire,9,B,"Displaced, Inverted",D,9,T,Authentic,G,D+E,Plagal,Authentic+Authentic,D
"DC0512.3: Mais quand je voy qu’elle souspire,",DC0512: Quand je voy ma mignonne rire,6,,,G,7,,Plagal,D,D,Authentic,Authentic,D
"DC0511.4: Pour neant a ce que taschez,",DC0511: Ce disoit une jeune dame,14,B,"Displaced, Inverted",D,15,T,Phrygian,None,D,Authentic,Phrygian,G
DC0511.3: Et vous tuez le corps et l’ame,DC0511: Ce disoit une jeune dame,12,B,"Inverted, Displaced",None,13,Ct,Authentic,D,D+D,Authentic,Phrygian+Phrygian,G
"DC0511.2: A un vieillard vous my faschez,",DC0511: Ce disoit une jeune dame,6,S,Displaced,A,7,B,Phrygian,None,D,None,Authentic,G
"DC0510.4: A luy complaire je m’addonne,","DC0510: J'endure tout, c'est bien raison",20,,,D,21,,Plagal,D+D,D+D+D,Authentic+Authentic,Plagal+Plagal+Plagal,G
"DC0509.7: Mais quand je seray aux endroictz,","DC0509: Ça ces beaux yeux, ça ceste bouche",29,S,Displaced,A,30,B,Phrygian,B-flat+B-flat+F,G+G,Authentic+Authentic+Authentic,Authentic+Authentic,G
"DC0509.4: Ceste cuisse, et plus hault trois doigtz,","DC0509: Ça ces beaux yeux, ça ceste bouche",17,S,None,G,18,T,Authentic,D,G,Plagal,Authentic,G
"DC0509.3: Ca ce rond tetin que j’y touche,","DC0509: Ça ces beaux yeux, ça ceste bouche",13,,,D,14,,Plagal,G+G,G,Authentic+Authentic,Authentic,G
"DC0508.9: Mais je vous pri que vous soyez soigneux,",DC0508: Musiciens qui chantez à plaisir,55,Ct,CAD NDLT,D,56,B,Phrygian,G+D+D,G+G,Authentic+Authentic+Authentic,Authentic+Authentic,G
"DC0508.1: Musiciens qui chantez à plaisir,",DC0508: Musiciens qui chantez à plaisir,5,,,D,6,,Plagal,None,G+G,None,Authentic+Authentic,G
DC0507.6: Car à plus grand honneur ne veulx pretendre.,"DC0507: Long temps y a, innocente pucelle",37,S,,G,38,T,Authentic,G,None,Authentic,None,D
DC0506.8: Que dedans le trou que sçavez.,DC0506: Madame je vous remercie/ De m'avoir esté si rebourse,43,None,None,G,43,None,Plagal,G+G+G,G,CadInCad+Authentic+Plagal,Plagal,D
"DC0506.2: De m’avoir esté si rebource,",DC0506: Madame je vous remercie/ De m'avoir esté si rebourse,19,S,Displaced,D,20,Ct,Authentic,D+D+D,B-flat+B-flat+B-flat,Authentic+Authentic+Authentic,Authentic+Authentic+Authentic,D
DC0505.8: C’est assez pour s’emerveiller.,DC0505: Si vous aviez comme moy faim,25,S,None,G,27,T,Authentic,D,None,Phrygian,None,D
"DC0505.5: Je dis entendez à mon aistre,",DC0505: Si vous aviez comme moy faim,11,S,None,B-flat,13,T,Authentic,G+G+G+G,D+D,Authentic+Authentic+Authentic+Authentic,Authentic+Authentic,D
"DC0505.4: Et picotin ne peult mal estre,",DC0505: Si vous aviez comme moy faim,6,S,None,G,8,T,Authentic,None,B-flat+B-flat,None,Authentic+Authentic,D
"DC0505.1: Si vous aviez comme moy faim,",DC0505: Si vous aviez comme moy faim,6,S,,G,7,T,Authentic,None,B-flat+B-flat,None,Authentic+Authentic,D
"DC0504.6: Qu’heure sans vous me dure des jours cent,",DC0504: Quand j'ay esté quinze heures avec vous,10,B,"Displaced, Inverted",D,10,T,Authentic,B-flat+B-flat,G+G+G+G,Authentic+Authentic,Plagal+Authentic+Plagal+Plagal,G
"DC0504.1: Quand j’ay esté quinze heures avec vous,",DC0504: Quand j'ay esté quinze heures avec vous,2,Ct,"Displaced, Evaded",G,3,B,Authentic,None,B-flat+B-flat,None,Authentic+Authentic,G
"DC0503.12: Sus l’herbette la jectay,",DC0503: Vous estes un fascheux homme,32,None,None,D,32,None,Plagal,D+D,G+G,Authentic+Authentic,Authentic+Authentic,G
"DC0503.11: Finez vous ou je crieray,",DC0503: Vous estes un fascheux homme,29,S,,D,30,T,Authentic,G+D,D,Plagal+Phrygian,Plagal,G
"DC0503.10: Je la prins, et l’embrassay,",DC0503: Vous estes un fascheux homme,26,T,"Displaced, Inverted",D,27,Ct,Phrygian,G+G,D+D,Authentic+Authentic,Authentic+Authentic,G
"DC0503.8: Vous estes un falcheux homme,",DC0503: Vous estes un fascheux homme,19,T,Displaced,B-flat,19,B,Authentic,A,G+G,Phrygian,Authentic+Authentic,G
"DC0503.5: Trouvé bergiere au coeur gay,",DC0503: Vous estes un fascheux homme,14,None,None,F,14,None,Plagal,D+F,F+A,Authentic+Plagal,Plagal+Phrygian,G
DC0502.8: Ainsi sera contente,DC0502: J'ay le fruit tant désiré,24,None,None,B-flat,25,None,Plagal,D+D+D+D,G,Plagal+Plagal+Authentic+Authentic,Authentic,G
DC0502.5: Car mon bien ne pourroit,DC0502: J'ay le fruit tant désiré,17,B,"Displaced, Inverted",B-flat,18,S,Authentic,G+G,D+D,Authentic+Authentic,Plagal+Plagal,G
"DC0502.4: Aux aultres lamenter,",DC0502: J'ay le fruit tant désiré,13,S,,G,15,T,Authentic,None,B-flat,None,Authentic,G
"DC0423.5: Quand je suis avec c'est sa vie,",DC0501: C'est a moy qu'en veult ce coqu,13,,,G,14,,Plagal,G+G+G+G,A+A+A,CAD NDLT+Authentic+CAD NDLT+Plagal,Plagal+Plagal+Plagal,D
"DC0501.5: Un mary ay le corps pour gage,",DC0501: C'est a moy qu'en veult ce coqu,13,,,G,14,,Plagal,G+G+G+G,A+A+A,CAD NDLT+Authentic+CAD NDLT+Plagal,Plagal+Plagal+Plagal,D
"DC0501.4: Meschant oyseau elle est trop sage,",DC0501: C'est a moy qu'en veult ce coqu,10,Ct,"Inverted, Displaced",G,11,B,Authentic,None,G+G+G+G,None,Plagal+Plagal+Plagal+Plagal,D
"DC0501.1: Cest à moy qu’en veult ce coqu,",DC0501: C'est a moy qu'en veult ce coqu,3,,,D,3,,Plagal,None,D+D,None,Authentic+Authentic,D
DC0322.4: Qui va chantant en son chant gracieux,DC0322: Or sus or sus qu'on se resveille,23,S,None,G,24,T,Authentic,C,None,Plagal,None,G
"DC0322.3: Du rossignol qui ne sommeille,",DC0322: Or sus or sus qu'on se resveille,18,S,None,A,19,T,Authentic,E,C,Phrygian,Plagal,G
DC0322.2: Venez ouir le chant melodieux,DC0322: Or sus or sus qu'on se resveille,13,S,None,C,14,T,Authentic,G,E,Authentic,Phrygian,G
"DC0322.1: Or sus or sus qu'on se resveille,",DC0322: Or sus or sus qu'on se resveille,5,S,None,G,6,T,Authentic,None,C,None,Authentic,G
DC0321.10: De vous servir de moy je seray maistre.,DC0321: S'amour vous a donné mon coeur en gaige,47,S,None,G,48,T,Authentic,C,G,Authentic,Authentic,G
"DC0321.9: Un aultre aurez, et moy ne pouvant estre,",DC0321: S'amour vous a donné mon coeur en gaige,42,Ct,Displaced,G,43,B,CAD NDLT,E+C+E,C,Authentic+Authentic+Phrygian,Authentic,G
"DC0321.8: Si ne voulez amy comme devant,",DC0321: S'amour vous a donné mon coeur en gaige,37,B,"Displaced, Inverted",E,38,S,Authentic,G+G,G+G,Authentic+Authentic,CAD NDLT+Authentic,G
"DC0321.7: Et vous seray amy non decepvant,",DC0321: S'amour vous a donné mon coeur en gaige,31,S,None,G,32,T,Authentic,D+D,E+C+E,Authentic+Plagal,Authentic+Authentic+Phrygian,G
DC0321.6: Et j'entendray le moindre signe aller,DC0321: S'amour vous a donné mon coeur en gaige,27,T,"Displaced, Inverted, Evaded",D,28,Ct,Authentic,E,G+G,Plagal,Authentic+Authentic,G
"DC0321.5: Si le voulez monstrez le sans parler,",DC0321: S'amour vous a donné mon coeur en gaige,23,None,None,E,24,None,Plagal,C,D+D,Authentic,Authentic+Plagal,G
"DC0321.4: Vous le voulez, ou ne le voulez point,",DC0321: S'amour vous a donné mon coeur en gaige,18,T,"Inverted, Evaded",C,19,S,Authentic,C,C,Authentic,Authentic,G
"DC0321.3: Quand tout est dict il n'ya qu'un seul point,",DC0321: S'amour vous a donné mon coeur en gaige,14,S,None,C,15,T,Authentic,G+G,C+C,Authentic+Authentic,Authentic+Authentic,G
"DC0321.2: De quoy vous sert user tant de langaige,",DC0321: S'amour vous a donné mon coeur en gaige,10,S,None,G,11,T,Authentic,A,C,Authentic,Authentic,G
"DC0321.1: S'amour vous a donné mon coeur en gaige,",DC0321: S'amour vous a donné mon coeur en gaige,5,S,None,A,6,T,Authentic,None,A,None,Authentic,G
DC0320.10: faictes le tant qu'il revienne à un double.,DC0320: Un mesnagier qui sa femme accusoit,58,,,C,59,,Plagal,C+C,None,Authentic+Authentic,None,C
"DC0320.8: La belle alors l'œil tout pleurant, et trouble,",DC0320: Un mesnagier qui sa femme accusoit,40,None,None,E,41,None,Plagal,F,C,Authentic,Authentic,C
DC0320.7: Je n'ay faict coup qui ne couste un escu.,DC0320: Un mesnagier qui sa femme accusoit,33,Ct,"Displaced, Evaded",G,34,T,Authentic,C,G,Authentic,Authentic,C
"DC0320.6: Par le corps bien ainsi qu'avons vescu,",DC0320: Un mesnagier qui sa femme accusoit,25,S,Displaced,C,25,Ct,Authentic,G+G,G+G,Authentic+Authentic,Authentic+Authentic,C
"DC0320.5: Malheureux est qui à femme se lie,",DC0320: Un mesnagier qui sa femme accusoit,17,S,None,G,18,T,Authentic,C,C,Authentic,Authentic,C
"DC0320.2: De ce que tant vouloit estre jolie,",DC0320: Un mesnagier qui sa femme accusoit,8,B,"Displaced, Inverted",G,9,S,Authentic,None,G,None,Authentic,C
"DC0319.14: Qui vit ainsi, est il trop à son aise.","DC0319: Triste et marry, pensif, melancolique",44,None,None,F,45,None,Plagal,F,None,Authentic,None,F
"DC0319.12: Estre battu de femme en sa maison,","DC0319: Triste et marry, pensif, melancolique",31,B,"Displaced, Inverted",C,31,Ct,Authentic,C+C,F,Authentic+Authentic,Authentic,F
"DC0319.11: Au demeurant à tort, et sans raison,","DC0319: Triste et marry, pensif, melancolique",29,B,"Displaced, Inverted",C,30,Ct,Authentic,A,C,Plagal,Authentic,F
DC0319.9: Estre jaloux coqu aussi coeur lasche:,"DC0319: Triste et marry, pensif, melancolique",25,,,A,26,,Plagal,A+A,C+C,Plagal+Plagal,Authentic+Authentic,F
"DC0319.8: Et sans espoir de trouver qui en baille,","DC0319: Triste et marry, pensif, melancolique",23,None,None,A,24,None,Plagal,C,A,Authentic,Plagal,F
"DC0319.5: Plain de proces, plain de calamité","DC0319: Triste et marry, pensif, melancolique",17,B,"Displaced, Inverted",C,18,Ct,Authentic,C,A+A,Authentic,Plagal+Plagal,F
"DC0319.4: Rude en esprit nud de grace, et sçavoir,","DC0319: Triste et marry, pensif, melancolique",13,T,"Displaced, Inverted, Evaded",C,13,Ct,Authentic,C,C,Authentic,Authentic,F
"DC0319.3: Pouvre orguilleux sans bien, et sans avoir,","DC0319: Triste et marry, pensif, melancolique",11,B,"Displaced, Inverted",C,11,Ct,Authentic,A,C,Phrygian,Authentic,F
"DC0319.1: Triste et marry, pensif, melancolique,","DC0319: Triste et marry, pensif, melancolique",4,T,"Displaced, Inverted",A,4,B,Phrygian,None,A,None,Phrygian,F
DC0318.4: Et encor moins sur le quart enteprendre.,DC0318: Ung doulx baiser m'est bien permis de prendre,21,S,None,F,23,T,Authentic,F,None,Authentic,None,F
