comment,other_contrapuntal,voices_p6_up,other_pres_type,phrase_number,voice_role_fifth,composition_number,voice_role_lo1_nim,start_measure,voices_p6_lo,cadence_role_cantz,cadence_alter,voice_role_fourth,other_formulas,voice_role_lo2_nim,cadence_final_tone,voice_role_up1_nim,voice_role_up2_nim,stop_measure,earlier_phrase,cadence_role_tenz,voices_p3_up,voice_role_un_oct,voice_role_dux2,voice_role_dux1,timestamp,voices_53_lo,repeat_exact_varied,analyst,voice_role_below,text_treatment,voices_53_up,voices_p3_lo,cadence_kind,voice_role_above,voice_role_com2,repeat_kind,voice_role_com1
,,None,None,"DC0711.9: Cent baisers au departir,",None,DC0711: Cent baysers au departir,None,19,None,None,,None,,None,None,None,None,20,3,None,None,None,None,None,26/07/2013 17:47:15,None,Exact,"Magruder, Katherine",None,None,None,None,None,None,None,Da Capo,None
,,None,None,"DC0711.8: Amour le commande,",None,DC0711: Cent baysers au departir,None,17,None,None,,None,,None,D,None,None,18,None,None,None,None,None,None,26/07/2013 17:46:46,None,None,"Magruder, Katherine",None,None,None,None,Plagal,None,None,None,None
,,None,None,"DC0711.8: Amour le commande,",None,DC0711: Cent baysers au departir,None,17,None,None,,None,,None,None,None,None,17,None,None,T,None,None,None,26/07/2013 17:46:09,None,None,"Magruder, Katherine",None,None,None,B,None,None,None,None,None
,,None,HR Simple,"DC0711.8: Amour le commande,",None,DC0711: Cent baysers au departir,None,16,None,None,,None,,None,None,None,None,18,None,None,None,None,None,None,26/07/2013 17:45:47,None,None,"Magruder, Katherine",None,None,None,None,None,None,None,None,None
,,None,None,"DC0711.7: Faictes les Ã  centz sortir,",None,DC0711: Cent baysers au departir,None,15,None,None,,None,,None,None,None,None,16,None,None,None,None,None,None,26/07/2013 17:45:26,None,None,"Magruder, Katherine",None,None,None,None,NoCadence,None,None,None,None
,,S,None,"DC0711.7: Faictes les Ã  centz sortir,",None,DC0711: Cent baysers au departir,None,15,T,None,,None,,None,None,None,None,16,None,None,None,None,None,None,26/07/2013 17:45:05,None,None,"Magruder, Katherine",None,None,None,None,None,None,None,None,None
,,None,None,"DC0711.7: Faictes les Ã  centz sortir,",None,DC0711: Cent baysers au departir,None,14,None,None,,None,,None,None,None,None,14,None,None,S,None,None,None,26/07/2013 17:44:41,None,None,"Magruder, Katherine",None,None,None,Ct,None,None,None,None,None
,,None,None,"DC0711.6: Cent baisers au departir,",None,DC0711: Cent baysers au departir,None,13,None,S,,None,,None,A,None,None,14,None,T,None,None,None,None,26/07/2013 17:44:07,None,None,"Magruder, Katherine",None,None,None,None,Phrygian,None,None,None,None
,,None,NIM,"DC0711.6: Cent baisers au departir,",None,DC0711: Cent baysers au departir,B,11,None,None,,None,,T,None,Ct,S,14,None,None,None,None,None,None,26/07/2013 17:43:37,None,None,"Magruder, Katherine",None,None,None,None,None,None,None,None,None
,,None,None,"DC0711.5: Premier que d'icy partir,",None,DC0711: Cent baysers au departir,None,10,None,S,,None,,None,D,None,None,11,None,T,None,None,None,None,26/07/2013 17:43:02,None,None,"Magruder, Katherine",None,None,None,None,Authentic,None,None,None,None
,,None,HR Simple,"DC0711.5: Premier que d'icy partir,",None,DC0711: Cent baysers au departir,None,10,None,None,,None,,None,None,None,None,10,None,None,S,None,None,None,26/07/2013 17:42:21,None,None,"Magruder, Katherine",None,None,None,B,None,None,None,None,None
,,None,None,"DC0711.4: Je les vous demande,",None,DC0711: Cent baysers au departir,None,8,None,S,,None,,None,G,None,None,8,None,T,None,None,None,None,26/07/2013 17:41:52,None,None,"Magruder, Katherine",None,None,None,None,Authentic,None,None,None,None
,,None,HR Simple,"DC0711.4: Je les vous demande,",None,DC0711: Cent baysers au departir,None,7,None,None,,None,,None,None,None,None,7,None,None,S,None,None,None,26/07/2013 17:41:11,None,None,"Magruder, Katherine",None,None,None,B,None,None,None,None,None
"Almost direct repeat of phrase 1.  Different interval patterns, same Cad.",,None,None,"DC0711.3: Cent baisers au departir,",None,DC0711: Cent baysers au departir,None,5,None,None,,None,,None,None,None,None,6,None,None,None,None,None,None,26/07/2013 17:39:47,None,None,"Magruder, Katherine",None,None,None,None,None,None,None,None,None
,,None,None,"DC0711.3: Cent baisers au departir,",None,DC0711: Cent baysers au departir,None,6,None,B,"Displaced, Inverted",None,,None,D,None,None,6,None,Ct,None,None,None,None,26/07/2013 17:38:59,None,None,"Magruder, Katherine",None,None,None,None,Phrygian,None,None,None,None
,,S,None,"DC0711.3: Cent baisers au departir,",None,DC0711: Cent baysers au departir,None,5,T,None,,None,,None,None,None,None,5,None,None,None,None,None,None,26/07/2013 17:38:27,None,None,"Magruder, Katherine",None,None,None,None,None,None,None,None,None
,,None,HR Simple,"DC0711.3: Cent baisers au departir,",None,DC0711: Cent baysers au departir,None,5,None,None,,None,,None,None,None,None,6,None,None,None,None,None,None,26/07/2013 17:38:09,None,None,"Magruder, Katherine",None,None,None,None,None,None,None,None,None
,,None,None,"DC0711.2: Bouchette friande,",None,DC0711: Cent baysers au departir,None,4,None,None,,None,,None,None,None,None,4,None,None,None,None,None,None,26/07/2013 17:37:40,None,None,"Magruder, Katherine",None,None,None,None,NoCadence,None,None,None,None
,,None,HR Simple,"DC0711.2: Bouchette friande,",None,DC0711: Cent baysers au departir,None,3,None,None,,None,,None,None,None,None,4,None,None,S,None,None,None,26/07/2013 17:37:23,None,None,"Magruder, Katherine",None,None,None,T,None,None,None,None,None
,,None,None,"DC0711.1: Cent baisers au departir,",None,DC0711: Cent baysers au departir,None,2,None,B,"Displaced, Inverted",None,,None,D,None,None,2,None,Ct,None,None,None,None,26/07/2013 17:36:51,None,None,"Magruder, Katherine",None,None,None,None,Phrygian,None,None,None,None
,,S,HR Simple,"DC0711.1: Cent baisers au departir,",None,DC0711: Cent baysers au departir,None,1,T,None,,None,,None,None,None,None,2,None,None,S,None,None,None,26/07/2013 17:35:42,B,None,"Magruder, Katherine",None,None,S,Ct,None,None,None,None,None
,,None,None,DC0714.7: Et vole comme une arrondelle.,None,DC0714: De ceans jusque chez m'amye,None,24,None,S,,None,,None,G,None,None,27,None,T,None,None,None,None,25/07/2013 14:35:31,None,None,"Magruder, Katherine",None,None,None,None,Authentic,None,None,None,None
,,None,None,DC0714.7: Et vole comme une arrondelle.,None,DC0714: De ceans jusque chez m'amye,None,23,None,None,,None,,None,None,None,None,23,None,None,S,None,None,None,25/07/2013 14:35:04,None,None,"Magruder, Katherine",None,None,None,Ct,None,None,None,None,None
,,None,ID,DC0714.7: Et vole comme une arrondelle.,Ct,DC0714: De ceans jusque chez m'amye,None,19,None,None,,None,,None,None,None,None,22,None,None,None,None,T,S,25/07/2013 14:34:44,None,None,"Magruder, Katherine",None,None,None,None,None,None,B,None,Ct
Second ending features PEn S/Ct/T/B @4.,,None,None,DC0714.7: Et vole comme une arrondelle.,None,DC0714: De ceans jusque chez m'amye,None,19,None,None,,None,,None,None,None,None,27,7,None,None,None,None,None,25/07/2013 14:34:13,None,Varied,"Magruder, Katherine",None,None,None,None,None,None,None,Final Repeat,None
"""Voce"" corresponds with fast rhythms. ",,None,None,DC0714.7: Et vole comme une arrondelle.,None,DC0714: De ceans jusque chez m'amye,None,19,None,None,,None,,None,None,None,None,22,None,None,None,None,None,None,25/07/2013 14:33:10,None,None,"Magruder, Katherine",None,Text Representation,None,None,None,None,None,None,None
,,None,None,"DC0714.6: En tout temps la voye m'est belle,",None,DC0714: De ceans jusque chez m'amye,None,18,None,S,,None,,None,B-flat,None,None,18,None,T,None,None,None,None,25/07/2013 14:32:19,None,None,"Magruder, Katherine",None,None,None,None,Authentic,None,None,None,None
,,None,None,"DC0714.6: En tout temps la voye m'est belle,",None,DC0714: De ceans jusque chez m'amye,None,16,None,None,,None,,None,None,None,None,17,None,None,S,None,None,None,25/07/2013 14:31:55,None,None,"Magruder, Katherine",None,None,None,B,None,None,None,None,None
,,S,None,"DC0714.6: En tout temps la voye m'est belle,",None,DC0714: De ceans jusque chez m'amye,None,16,T,None,,None,,None,None,None,None,16,None,None,None,None,None,None,25/07/2013 14:31:39,None,None,"Magruder, Katherine",None,None,None,None,None,None,None,None,None
,,None,None,"DC0714.6: En tout temps la voye m'est belle,",None,DC0714: De ceans jusque chez m'amye,None,14,None,None,,None,,None,None,None,None,15,None,None,S,None,None,None,25/07/2013 14:31:20,None,None,"Magruder, Katherine",None,None,None,Ct,None,None,None,None,None
,,None,HR Stagger,"DC0714.6: En tout temps la voye m'est belle,",None,DC0714: De ceans jusque chez m'amye,None,13,None,None,,None,,None,None,None,None,14,None,None,None,None,None,None,25/07/2013 14:30:59,None,None,"Magruder, Katherine",None,None,None,None,None,None,None,None,None
,,None,None,"DC0714.5: Pleuve, vente il ne m'en chault pas,",None,DC0714: De ceans jusque chez m'amye,None,12,None,T,"Displaced, Inverted, Evaded",None,,None,D,None,None,13,None,Ct,None,None,None,None,25/07/2013 14:30:39,None,None,"Magruder, Katherine",None,None,None,None,CadInCad,None,None,None,None
,,None,None,"DC0714.5: Pleuve, vente il ne m'en chault pas,",None,DC0714: De ceans jusque chez m'amye,None,11,None,None,,None,,None,None,None,None,11,None,None,T,None,None,None,25/07/2013 14:30:08,None,None,"Magruder, Katherine",None,None,None,B,None,None,None,None,None
,,None,None,"DC0714.5: Pleuve, vente il ne m'en chault pas,",None,DC0714: De ceans jusque chez m'amye,None,10,None,None,,None,,None,None,None,None,10,None,None,Ct,None,None,None,25/07/2013 14:29:45,None,None,"Magruder, Katherine",None,None,None,T,None,None,None,None,None
,,None,HR Stagger,"DC0714.5: Pleuve, vente il ne m'en chault pas,",None,DC0714: De ceans jusque chez m'amye,None,10,None,None,,None,,None,None,None,None,11,None,None,None,None,None,None,25/07/2013 14:29:20,None,None,"Magruder, Katherine",None,None,None,None,None,None,None,None,None
First and second endings.,,None,None,"DC0714.4: Mais oncques jours je n'en fuz las,",None,DC0714: De ceans jusque chez m'amye,None,5,None,None,,None,,None,None,None,None,10,2,None,None,None,None,None,25/07/2013 14:28:47,None,Varied,"Magruder, Katherine",None,None,None,None,None,None,None,Direct Repeat,None
,,None,None,DC0714.3: Cent fois les ay faictz en ma vie ,None,DC0714: De ceans jusque chez m'amye,None,1,None,None,,None,,None,None,None,None,5,1,None,None,None,None,None,25/07/2013 14:28:22,None,Exact,"Magruder, Katherine",None,None,None,None,None,None,None,Direct Repeat,None
,,None,None,"DC0714.2: Bien sÃ§ay combien y a de pas,",None,DC0714: De ceans jusque chez m'amye,None,8,None,S,,None,,None,G,None,None,9,None,T,None,None,None,None,25/07/2013 14:27:58,None,None,"Magruder, Katherine",None,None,None,None,Authentic,None,None,None,None
,,S,None,"DC0714.2: Bien sÃ§ay combien y a de pas,",None,DC0714: De ceans jusque chez m'amye,None,5,T,None,,None,,None,None,None,None,7,None,None,None,None,None,None,25/07/2013 14:27:33,None,None,"Magruder, Katherine",None,None,None,None,None,None,None,None,None
,,None,FI,"DC0714.2: Bien sÃ§ay combien y a de pas,",None,DC0714: De ceans jusque chez m'amye,None,5,None,None,,None,,None,None,None,None,8,None,None,None,T,None,S,25/07/2013 14:27:14,None,None,"Magruder, Katherine",None,None,None,None,None,None,None,None,T
,,None,None,"DC0714.1: De ceans jusques chez m'amye,",None,DC0714: De ceans jusque chez m'amye,None,4,None,S,,None,,None,D,None,None,5,None,T,None,None,None,None,25/07/2013 14:26:44,None,None,"Magruder, Katherine",None,None,None,None,Authentic,None,None,None,None
,,None,None,"DC0714.1: De ceans jusques chez m'amye,",None,DC0714: De ceans jusque chez m'amye,None,4,None,None,,None,,None,None,None,None,4,None,None,T,None,None,None,25/07/2013 14:26:17,None,None,"Magruder, Katherine",None,None,None,B,None,None,None,None,None
,,S,None,"DC0714.1: De ceans jusques chez m'amye,",None,DC0714: De ceans jusque chez m'amye,None,3,T,None,,None,,None,None,None,None,3,None,None,None,None,None,None,25/07/2013 14:26:01,None,None,"Magruder, Katherine",None,None,None,None,None,None,None,None,None
,,None,PEn,"DC0714.1: De ceans jusques chez m'amye,",None,DC0714: De ceans jusque chez m'amye,None,1,None,None,,None,,None,None,None,None,3,None,None,None,T,B,S,25/07/2013 14:25:39,None,None,"Magruder, Katherine",None,None,None,None,None,None,Ct,None,T
,,None,None,"DC0715.8: La mort est pres, qui t'en rendra delivre.",None,DC0715: Or perdz-je celle en qui gist tout mon bien,None,33,None,S,,None,,None,G,None,None,36,None,T,None,None,None,None,25/07/2013 14:24:10,None,None,"Magruder, Katherine",None,None,None,None,Authentic,None,None,None,None
Altered note values in second ending.,,None,None,"DC0715.8: La mort est pres, qui t'en rendra delivre.",None,DC0715: Or perdz-je celle en qui gist tout mon bien,None,29,None,None,,None,,None,None,None,None,36,8,None,None,None,None,None,25/07/2013 14:23:36,None,Varied,"Magruder, Katherine",None,None,None,None,None,None,None,Final Repeat,None
,,S,None,"DC0715.8: La mort est pres, qui t'en rendra delivre.",None,DC0715: Or perdz-je celle en qui gist tout mon bien,None,31,T,None,,None,Romanesca,None,None,None,None,32,None,None,None,None,None,None,25/07/2013 14:22:54,None,None,"Magruder, Katherine",None,None,None,None,None,None,None,None,None
,,None,PEn Tonal,"DC0715.8: La mort est pres, qui t'en rendra delivre.",T,DC0715: Or perdz-je celle en qui gist tout mon bien,None,30,None,None,,None,,None,None,None,None,31,None,None,None,None,Ct,B,25/07/2013 14:22:30,None,None,"Magruder, Katherine",None,None,None,None,None,None,None,None,T
,,None,HR Stagger,"DC0715.8: La mort est pres, qui t'en rendra delivre.",None,DC0715: Or perdz-je celle en qui gist tout mon bien,None,27,None,None,,None,,None,None,None,None,27,None,None,None,None,None,None,25/07/2013 14:21:56,None,None,"Magruder, Katherine",None,None,None,None,None,None,None,None,None
,,None,None,"DC0715.7: Prendz donc confort en ta douleur profonde,",None,DC0715: Or perdz-je celle en qui gist tout mon bien,None,26,None,S,,None,,None,C,None,None,27,None,T,None,None,None,None,25/07/2013 14:21:31,None,None,"Magruder, Katherine",None,None,None,None,Authentic,None,None,None,None
,,None,None,"DC0715.7: Prendz donc confort en ta douleur profonde,",None,DC0715: Or perdz-je celle en qui gist tout mon bien,None,25,None,None,,None,,None,None,None,None,26,None,None,None,None,None,None,25/07/2013 14:20:53,B,None,"Magruder, Katherine",None,None,S,None,None,None,None,None,None
,,None,FI,"DC0715.7: Prendz donc confort en ta douleur profonde,",None,DC0715: Or perdz-je celle en qui gist tout mon bien,None,24,None,None,,None,,None,None,None,None,25,None,None,None,S,None,T,25/07/2013 14:20:27,None,None,"Magruder, Katherine",None,None,None,None,None,None,None,None,S
,,None,None,"DC0715.7: Prendz donc confort en ta douleur profonde,",None,DC0715: Or perdz-je celle en qui gist tout mon bien,None,22,None,None,,None,,None,None,None,None,23,None,None,S,None,None,None,25/07/2013 14:19:57,None,None,"Magruder, Katherine",None,None,None,Ct,None,None,None,None,None
,,None,FI,"DC0715.7: Prendz donc confort en ta douleur profonde,",None,DC0715: Or perdz-je celle en qui gist tout mon bien,None,21,None,None,,None,,None,None,None,None,24,None,None,None,T,None,B,25/07/2013 14:19:36,None,None,"Magruder, Katherine",None,None,None,None,None,None,None,None,T
,,None,None,"DC0715.6: C'est que sans elle, icy je ne puis vivre.",None,DC0715: Or perdz-je celle en qui gist tout mon bien,None,20,None,Ct,"Displaced, Evaded",None,,None,D,None,None,21,None,T,None,None,None,None,25/07/2013 14:19:01,None,None,"Magruder, Katherine",None,None,None,None,Authentic,None,None,None,None
,,None,NIM,"DC0715.6: C'est que sans elle, icy je ne puis vivre.",None,DC0715: Or perdz-je celle en qui gist tout mon bien,B,18,None,None,,None,,T,None,S,Ct,20,None,None,None,None,None,None,25/07/2013 14:17:58,None,None,"Magruder, Katherine",None,None,None,None,None,None,None,None,None
,,S,None,"DC0715.6: C'est que sans elle, icy je ne puis vivre.",None,DC0715: Or perdz-je celle en qui gist tout mon bien,None,18,Ct,None,,None,,None,None,None,None,18,None,None,Ct,None,None,None,25/07/2013 14:17:20,None,None,"Magruder, Katherine",None,None,None,B,None,None,None,None,None
,,None,None,"DC0715.6: C'est que sans elle, icy je ne puis vivre.",None,DC0715: Or perdz-je celle en qui gist tout mon bien,None,19,None,None,,None,,None,None,None,None,20,None,None,T,None,None,None,25/07/2013 14:16:24,None,None,"Magruder, Katherine",None,None,None,B,None,None,None,None,None
,,None,None,"DC0715.6: C'est que sans elle, icy je ne puis vivre.",None,DC0715: Or perdz-je celle en qui gist tout mon bien,None,19,None,None,,None,,None,None,None,None,20,None,None,S,None,None,None,25/07/2013 14:16:05,None,None,"Magruder, Katherine",None,None,None,Ct,None,None,None,None,None
,,None,FI,"DC0715.6: C'est que sans elle, icy je ne puis vivre.",None,DC0715: Or perdz-je celle en qui gist tout mon bien,None,16,None,None,,B,,None,None,None,None,18,None,None,None,None,None,T,25/07/2013 14:15:35,None,None,"Magruder, Katherine",None,None,None,None,None,None,None,None,B
,,None,None,"DC0715.6: C'est que sans elle, icy je ne puis vivre.",None,DC0715: Or perdz-je celle en qui gist tout mon bien,None,16,None,None,,None,,None,None,None,None,17,None,None,S,None,None,None,25/07/2013 14:14:57,None,None,"Magruder, Katherine",None,None,None,T,None,None,None,None,None
,,None,None,"DC0715.5: Un poinct y a, ou mon salut je fonde,",None,DC0715: Or perdz-je celle en qui gist tout mon bien,None,15,None,S,,None,,None,D,None,None,16,None,T,None,None,None,None,25/07/2013 14:14:21,None,None,"Magruder, Katherine",None,None,None,None,Authentic,None,None,None,None
,,None,NIM,"DC0715.5: Un poinct y a, ou mon salut je fonde,",None,DC0715: Or perdz-je celle en qui gist tout mon bien,S,13,None,None,,None,,Ct,None,T,B,15,None,None,None,None,None,None,25/07/2013 14:13:44,None,None,"Magruder, Katherine",None,None,None,None,None,None,None,None,None
,,None,None,"DC0715.5: Un poinct y a, ou mon salut je fonde,",None,DC0715: Or perdz-je celle en qui gist tout mon bien,None,14,None,None,,None,,None,None,None,None,15,None,None,T,None,None,None,25/07/2013 14:13:08,None,None,"Magruder, Katherine",None,None,None,B,None,None,None,None,None
,,None,NIM,"DC0715.5: Un poinct y a, ou mon salut je fonde,",None,DC0715: Or perdz-je celle en qui gist tout mon bien,B,11,None,None,,None,,Ct,None,T,S,13,None,None,None,None,None,None,25/07/2013 14:12:47,None,None,"Magruder, Katherine",None,None,None,None,None,None,None,None,None
First and second endings.,,None,None,"DC0715.4: Et l'ayant seule en moy le tout habonde,",None,DC0715: Or perdz-je celle en qui gist tout mon bien,None,5,None,None,,None,,None,None,None,None,10,2,None,None,None,None,None,25/07/2013 14:12:07,None,Varied,"Magruder, Katherine",None,None,None,None,None,None,None,Direct Repeat,None
,,None,None,"DC0715.3: Car ayant tout sans elle je n'ay rien,",None,DC0715: Or perdz-je celle en qui gist tout mon bien,None,1,None,None,,None,,None,None,None,None,6,1,None,None,None,None,None,25/07/2013 14:11:40,None,Exact,"Magruder, Katherine",None,None,None,None,None,None,None,Direct Repeat,None
,,None,None,"DC0715.2: Et sans laquelle, ha je dis fi du monde,",None,DC0715: Or perdz-je celle en qui gist tout mon bien,None,9,None,S,,None,,None,G,None,None,10,None,T,None,None,None,None,25/07/2013 14:10:50,None,None,"Magruder, Katherine",None,None,None,None,Authentic,None,None,None,None
,,S,None,"DC0715.2: Et sans laquelle, ha je dis fi du monde,",None,DC0715: Or perdz-je celle en qui gist tout mon bien,None,8,T,None,,None,,None,None,None,None,9,None,None,S,None,None,None,25/07/2013 14:10:29,None,None,"Magruder, Katherine",None,None,None,Ct,None,None,None,None,None
S enters with T.,,None,PEn,"DC0715.2: Et sans laquelle, ha je dis fi du monde,",B,DC0715: Or perdz-je celle en qui gist tout mon bien,None,5,None,None,,None,,None,None,None,None,7,None,None,None,None,T,Ct,25/07/2013 14:09:27,None,None,"Magruder, Katherine",None,None,None,None,None,None,None,None,B
,,None,None,"DC0715.2: Et sans laquelle, ha je dis fi du monde,",None,DC0715: Or perdz-je celle en qui gist tout mon bien,None,5,None,None,,None,,None,None,None,None,6,None,None,None,None,None,None,25/07/2013 14:06:49,None,None,"Magruder, Katherine",None,Text Overlap,None,None,None,None,None,None,None
,,None,None,"DC0715.1: Or perdz-je celle en qui gist tout mon bien,",None,DC0715: Or perdz-je celle en qui gist tout mon bien,None,5,None,S,,None,,None,B-flat,None,None,6,None,T,None,None,None,None,25/07/2013 14:06:28,None,None,"Magruder, Katherine",None,None,None,None,Authentic,None,None,None,None
,,None,None,"DC0715.1: Or perdz-je celle en qui gist tout mon bien,",None,DC0715: Or perdz-je celle en qui gist tout mon bien,None,4,None,None,,None,,None,None,None,None,5,None,None,None,None,None,None,25/07/2013 14:06:05,B,None,"Magruder, Katherine",None,None,S,None,None,None,None,None,None
,,S,None,"DC0715.1: Or perdz-je celle en qui gist tout mon bien,",None,DC0715: Or perdz-je celle en qui gist tout mon bien,None,2,T,None,,None,,None,None,None,None,4,None,None,None,None,None,None,25/07/2013 14:05:41,None,None,"Magruder, Katherine",None,None,None,None,None,None,None,None,None
,Invertible Counterpoint,None,PEn,"DC0715.1: Or perdz-je celle en qui gist tout mon bien,",T,DC0715: Or perdz-je celle en qui gist tout mon bien,None,1,None,None,,None,,None,None,None,None,4,None,None,None,None,B,S,25/07/2013 14:05:13,None,None,"Magruder, Katherine",None,None,None,None,None,None,None,None,T
,,None,None,DC0717.8: Veu qu'il commande aux dieux.,None,"DC0717: Petite damoyselle, Amour donnez lieu",None,21,None,S,,None,,None,G,None,None,22,None,T,None,None,None,None,24/07/2013 19:57:06,None,None,"Magruder, Katherine",None,None,None,None,Authentic,None,None,None,None
,,None,None,DC0717.8: Veu qu'il commande aux dieux.,None,"DC0717: Petite damoyselle, Amour donnez lieu",None,17,None,None,,None,,None,None,None,None,23,8,None,None,None,None,None,24/07/2013 19:56:17,None,Exact,"Magruder, Katherine",None,None,None,None,None,None,None,Final Repeat,None
,,None,None,DC0717.8: Veu qu'il commande aux dieux.,None,"DC0717: Petite damoyselle, Amour donnez lieu",None,17,None,None,,None,,None,None,None,None,23,7,None,None,None,None,None,24/07/2013 19:55:40,None,Exact,"Magruder, Katherine",None,None,None,None,None,None,None,Final Repeat,None
,,None,HR Simple,DC0717.8: Veu qu'il commande aux dieux.,None,"DC0717: Petite damoyselle, Amour donnez lieu",None,20,None,None,,None,,None,None,None,None,20,None,None,Ct,None,None,None,24/07/2013 19:55:12,None,None,"Magruder, Katherine",None,None,None,T,None,None,None,None,None
,,None,None,"DC0717.7: De ne plus contredire,",None,"DC0717: Petite damoyselle, Amour donnez lieu",None,19,None,None,,None,,None,D,None,None,19,None,None,None,None,None,None,24/07/2013 19:53:46,None,None,"Magruder, Katherine",None,None,None,None,Plagal,None,None,None,None
,,None,HR Simple,"DC0717.7: De ne plus contredire,",None,"DC0717: Petite damoyselle, Amour donnez lieu",None,19,None,None,,None,,None,None,None,None,19,None,None,None,None,None,None,24/07/2013 19:53:21,None,None,"Magruder, Katherine",None,None,None,None,None,None,None,None,None
,,None,None,"DC0717.7: De ne plus contredire,",None,"DC0717: Petite damoyselle, Amour donnez lieu",None,18,None,None,,None,,None,None,None,None,18,None,None,Ct,None,None,None,24/07/2013 19:52:58,None,None,"Magruder, Katherine",None,None,None,T,None,None,None,None,None
,,None,HR Stagger,"DC0717.7: De ne plus contredire,",None,"DC0717: Petite damoyselle, Amour donnez lieu",None,16,None,None,,None,,None,None,None,None,17,None,None,None,None,None,None,24/07/2013 19:52:34,None,None,"Magruder, Katherine",None,None,None,None,None,None,None,None,None
,,None,None,"DC0717.6: Et feras beaucoup mieulx,",None,"DC0717: Petite damoyselle, Amour donnez lieu",None,15,None,S,,None,,None,D,None,None,16,None,T,None,None,None,None,24/07/2013 19:51:51,None,None,"Magruder, Katherine",None,None,None,None,Authentic,None,None,None,None
,,None,None,"DC0717.6: Et feras beaucoup mieulx,",None,"DC0717: Petite damoyselle, Amour donnez lieu",None,14,None,None,,None,,None,None,None,None,14,None,None,Ct,None,None,None,24/07/2013 19:51:20,None,None,"Magruder, Katherine",None,None,None,B,None,None,None,None,None
,,None,HR Stagger,"DC0717.6: Et feras beaucoup mieulx,",None,"DC0717: Petite damoyselle, Amour donnez lieu",None,13,None,None,,None,,None,None,None,None,14,None,None,None,None,None,None,24/07/2013 19:51:01,None,None,"Magruder, Katherine",None,Text Overlap,None,None,None,None,None,None,None
,,None,None,"DC0717.5: Il fault craindre son ire,",None,"DC0717: Petite damoyselle, Amour donnez lieu",None,13,None,S,Displaced,None,,None,B-flat,None,None,13,None,Ct,None,None,None,None,24/07/2013 19:50:30,None,None,"Magruder, Katherine",None,None,None,None,Authentic,None,None,None,None
,,None,None,"DC0717.5: Il fault craindre son ire,",None,"DC0717: Petite damoyselle, Amour donnez lieu",None,11,None,None,,None,,None,None,None,None,11,None,None,None,None,None,None,24/07/2013 19:49:57,None,None,"Magruder, Katherine",None,Text Pause,None,None,None,None,None,None,None
,,None,None,DC0717.4: A un si puissant Dieu.,None,"DC0717: Petite damoyselle, Amour donnez lieu",None,9,None,None,,None,,None,None,None,None,11,2,None,None,None,None,None,24/07/2013 19:49:35,None,Exact,"Magruder, Katherine",None,None,None,None,None,None,None,Direct Repeat,None
,,,,"DC0717.3: Que sert d'estre rebelle,",,"DC0717: Petite damoyselle, Amour donnez lieu",,6,,,,,,,None,,,8,1,,,,,,24/07/2013 19:47:45,,Exact,"Magruder, Katherine",,None,,,None,,,Direct Repeat,
,,None,None,"DC0717.3: Que sert d'estre rebelle,",None,"DC0717: Petite damoyselle, Amour donnez lieu",None,6,None,None,,None,,None,None,None,None,6,None,None,None,None,None,None,24/07/2013 19:47:22,None,None,"Magruder, Katherine",None,Text Pause,None,None,None,None,None,None,None
,,None,None,"DC0717.2: A amour donnez lieu,",None,"DC0717: Petite damoyselle, Amour donnez lieu",None,5,None,None,,None,,None,D,None,None,5,None,None,None,None,None,None,24/07/2013 19:46:59,None,None,"Magruder, Katherine",None,None,None,None,Plagal,None,None,None,None
,,S,None,"DC0717.2: A amour donnez lieu,",None,"DC0717: Petite damoyselle, Amour donnez lieu",None,3,T,None,,None,,None,None,None,None,5,None,None,None,None,None,None,24/07/2013 19:46:36,None,None,"Magruder, Katherine",None,None,None,None,None,None,None,None,None
,,None,None,"DC0717.1: Petite damoyselle,",None,"DC0717: Petite damoyselle, Amour donnez lieu",None,2,None,S,Evaded,None,,None,C,None,None,3,None,T,None,None,None,None,24/07/2013 19:45:41,None,None,"Magruder, Katherine",None,None,None,None,Authentic,None,None,None,None
,,S,None,"DC0717.1: Petite damoyselle,",None,"DC0717: Petite damoyselle, Amour donnez lieu",None,1,T,None,,None,,None,None,None,None,1,None,None,None,None,None,None,24/07/2013 19:45:16,B,None,"Magruder, Katherine",None,None,T,None,None,None,None,None,None
,,None,HR Simple,"DC0717.1: Petite damoyselle,",None,"DC0717: Petite damoyselle, Amour donnez lieu",None,1,None,None,,None,,None,None,None,None,3,None,None,None,None,None,None,24/07/2013 19:44:54,None,None,"Magruder, Katherine",None,None,None,None,None,None,None,None,None
,,None,None,"DC0719.4: Souffrir m'est doulx, et mon mal j'estime heur.",None,DC0719: Je me veulx tant a son vouloir offrir,None,23,None,S,,None,,None,G,None,None,24,None,T,None,None,None,None,24/07/2013 19:43:36,None,None,"Magruder, Katherine",None,None,None,None,Authentic,None,None,None,None
Note values altered in first ending.,,None,None,"DC0719.4: Souffrir m'est doulx, et mon mal j'estime heur.",None,DC0719: Je me veulx tant a son vouloir offrir,None,17,None,None,,None,,None,None,None,None,26,4,None,None,None,None,None,24/07/2013 19:43:04,None,Varied,"Magruder, Katherine",None,None,None,None,None,None,None,Final Repeat,None
