composition_number,cadence_kind,cadence_kind,cadence_kind,cadence_kind,cadence_kind,cadence_kind,cadence_kind,cadence_kind,cadence_kind,cadence_kind,cadence_role_cantz,cadence_role_cantz,cadence_role_cantz,cadence_role_cantz,cadence_role_cantz,cadence_role_cantz,cadence_role_cantz,cadence_role_cantz,cadence_role_cantz,cadence_role_cantz,cadence_alter,cadence_alter,cadence_alter,cadence_alter,cadence_alter,cadence_alter,cadence_alter,cadence_alter,cadence_alter,cadence_alter,cadence_final_tone,cadence_final_tone,cadence_final_tone,cadence_final_tone,cadence_final_tone,cadence_final_tone,cadence_final_tone,cadence_final_tone,cadence_final_tone,cadence_final_tone,cadence_role_tenz,cadence_role_tenz,cadence_role_tenz,cadence_role_tenz,cadence_role_tenz,cadence_role_tenz,cadence_role_tenz,cadence_role_tenz,cadence_role_tenz,cadence_role_tenz,final_cadence,piece_length
DC0125: Si ton plus grand plaisir n'est sinon d'estre tienne,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,None,None,None,None,None,S+S,S+Ct,Ct+S,S+S,S+S,None,None,None,None,None,None+None,None+Displaced,Displaced+None,None+None,None+None,None,None,None,None,None,G+A,A+G,G+G,G+G,G+G,None,None,None,None,None,T+T,T+B,B+T,T+T,T+T,None,None,None,None,None,G,6
DC0924: Mon povre cueur qui sans aulcun repos,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+CadInCad,CadInCad+Authentic,Authentic+Authentic,None,None,None,None,Ct+S,S+S,S+T,T+S,S+Ct,Ct+S,None,None,None,None,Displaced+None,None+Incomplete,"Incomplete+Displaced, Inverted, Evaded","Displaced, Inverted, Evaded+None",None+Displaced,Displaced+None,None,None,None,None,F+F,F+F,F+F,F+C,C+F,F+F,None,None,None,None,B+T,T+T,T+Ct,Ct+T,T+B,B+T,None,None,None,None,F,7
DC0705: Soleil qui tout voit par ma foy,Plagal+Authentic,Authentic+Plagal,Plagal+Authentic,Authentic+Authentic,Authentic+Authentic,None,None,None,None,None,None+S,S+None,None+S,S+S,S+S,None,None,None,None,None,None+None,None+None,None+None,None+None,None+None,None,None,None,None,None,D+G,G+D,D+G,G+B-flat,B-flat+G,None,None,None,None,None,None+T,T+None,None+T,T+T,T+T,None,None,None,None,None,G,6
"DC0105: Cest oeil mignon, ce visage poly",Authentic+Plagal,Plagal+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,None,S+None,None+S,S+S,S+S,S+S,S+T,T+S,S+S,S+S,None,None+None,None+None,None+None,None+Displaced,Displaced+Displaced,"Displaced+Inverted, Incomplete","Inverted, Incomplete+None",None+None,None+None,None,B-flat+B-flat,B-flat+G,G+B-flat,B-flat+D,D+B-flat,B-flat+G,G+D,D+G,G+G,None,T+None,None+T,T+T,T+Ct,Ct+Ct,Ct+Ct,Ct+T,T+T,T+T,None,G,10
"DC0615: N'ayez plus peur, mary jaloux",Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,None,None,None,None,None,None,None,S+S,S+T,T+S,None,None,None,None,None,None,None,None+None,None+Displaced,Displaced+None,None,None,None,None,None,None,None,F+A,A+C,C+F,None,None,None,None,None,None,None,T+T,T+B,B+T,None,None,None,None,None,None,None,F,4
DC0911: Amour du coeur vient et prend sa naissance,Authentic+Authentic,Authentic+Plagal,Plagal+Authentic,None,None,None,None,None,None,None,T+T,T+None,None+S,None,None,None,None,None,None,None,"Displaced, Inverted, Evaded+Displaced, Inverted, Evaded","Displaced, Inverted, Evaded+None",None+None,None,None,None,None,None,None,None,D+D,D+D,D+G,None,None,None,None,None,None,None,Ct+Ct,Ct+None,None+T,None,None,None,None,None,None,None,G,4
"DC0923: En ce verd moys, temps opportun",Authentic+Authentic,Authentic+Authentic,None,None,None,None,None,None,None,None,S+T,T+S,None,None,None,None,None,None,None,None,"None+Displaced, Inverted, Evaded","Displaced, Inverted, Evaded+None",None,None,None,None,None,None,None,None,F+F,F+F,None,None,None,None,None,None,None,None,T+Ct,Ct+T,None,None,None,None,None,None,None,None,F,3
DC0909: Si Salamandre en flamme vit c'est peu,Authentic+Authentic,Authentic+Plagal,Plagal+CadInCad,CadInCad+CadInCad,CadInCad+Authentic,None,None,None,None,None,B+S,S+None,None+S,S+T,T+S,None,None,None,None,None,"Displaced, Inverted+None",None+None,None+None,"None+Displaced, Inverted, Evaded","Displaced, Inverted, Evaded+None",None,None,None,None,None,A+D,D+A,A+A,A+D,D+D,None,None,None,None,None,Ct+T,T+None,None+T,T+Ct,Ct+T,None,None,None,None,None,D,6
DC0905: Je ne suis pas si sot berger,Authentic+Authentic,Authentic+CadInCad,CadInCad+Authentic,None,None,None,None,None,None,None,S+S,S+S,S+S,None,None,None,None,None,None,None,None+None,None+None,None+None,None,None,None,None,None,None,None,G+G,G+B-flat,B-flat+G,None,None,None,None,None,None,None,T+T,T+T,T+T,None,None,None,None,None,None,None,G,4
"DC0407: Plaisir, prouffit, honneur, advancement",Plagal+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,None,None,None,None,None,None,None+S,S+S,S+S,S+S,None,None,None,None,None,None,None+None,"None+Displaced, Evaded","Displaced, Evaded+None",None+None,None,None,None,None,None,None,D+G,G+B-flat,B-flat+B-flat,B-flat+G,None,None,None,None,None,None,None+T,T+Ct,Ct+T,T+T,None,None,None,None,None,None,G,5
