composition_number,cadence_kind,cadence_kind,cadence_kind,cadence_kind,cadence_kind,cadence_kind,cadence_kind,cadence_kind,cadence_kind,cadence_kind,cadence_role_cantz,cadence_role_cantz,cadence_role_cantz,cadence_role_cantz,cadence_role_cantz,cadence_role_cantz,cadence_role_cantz,cadence_role_cantz,cadence_role_cantz,cadence_role_cantz,cadence_alter,cadence_alter,cadence_alter,cadence_alter,cadence_alter,cadence_alter,cadence_alter,cadence_alter,cadence_alter,cadence_alter,cadence_final_tone,cadence_final_tone,cadence_final_tone,cadence_final_tone,cadence_final_tone,cadence_final_tone,cadence_final_tone,cadence_final_tone,cadence_final_tone,cadence_final_tone,cadence_role_tenz,cadence_role_tenz,cadence_role_tenz,cadence_role_tenz,cadence_role_tenz,cadence_role_tenz,cadence_role_tenz,cadence_role_tenz,cadence_role_tenz,cadence_role_tenz,final_cadence,piece_length
DC0209: Dire me fault par desespoir contrainct,CadInCad+Authentic,Authentic+Authentic,Authentic+Authentic,None,None,None,None,None,None,None,S+S,S+Ct,Ct+S,None,None,None,None,None,None,None,None+Displaced,Displaced+Displaced,Displaced+None,None,None,None,None,None,None,None,A+A,A+C,C+A,None,None,None,None,None,None,None,T+Ct,Ct+T,T+T,None,None,None,None,None,None,None,A,4
DC0117: Qu'est-ce que fait celui qui se marie,Authentic+Authentic,Authentic+Plagal,Plagal+Authentic,Authentic+Plagal,Plagal+Authentic,None,None,None,None,None,S+S,S+None,None+S,S+None,None+S,None,None,None,None,None,None+None,None+None,None+Incomplete,Incomplete+None,None+None,None,None,None,None,None,A+A,A+G,G+A,A+A,A+A,None,None,None,None,None,T+T,T+None,None+T,T+None,None+T,None,None,None,None,None,A,6
"DC0509: Ça ces beaux yeux, ça ceste bouche",Authentic+Authentic,Authentic+Plagal,Plagal+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Phrygian,Phrygian+Authentic,None,None,None,S+S,S+,+S,S+S,S+S,S+S,S+S,None,None,None,None+None,None+None,None+None,None+Evaded,Evaded+None,None+Displaced,Displaced+None,None,None,None,D+G,G+D,D+G,G+D,D+B-flat,B-flat+A,A+G,None,None,None,T+T,T+,+T,T+T,T+T,T+B,B+T,None,None,None,G,8
DC0306: Elle disoit : faictes tout bellement,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Plagal,Plagal+Authentic,None,None,None,None,None,B+S,S+T,T+S,S+None,None+S,None,None,None,None,None,"Displaced, Inverted+None","None+Displaced, Incomplete","Displaced, Incomplete+None",None+None,None+None,None,None,None,None,None,D+G,G+B-flat,B-flat+D,D+D,D+G,None,None,None,None,None,Ct+T,T+None,None+T,T+None,None+T,None,None,None,None,None,G,6
DC0915: Chasse rigueur loing de toy qui es belle,Phrygian+Phrygian,Phrygian+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,None,None,None,None,Ct+S,S+S,S+Ct,Ct+T,T+T,T+S,None,None,None,None,Displaced+None,None+None,None+Displaced,"Displaced+Displaced, Inverted","Displaced, Inverted+Displaced, Inverted, Evaded","Displaced, Inverted, Evaded+None",None,None,None,None,A+A,A+C,C+C,C+C,C+C,C+F,None,None,None,None,B+T,T+T,T+T,T+Ct,Ct+Ct,Ct+T,None,None,None,None,F,7
DC0321: S'amour vous a donné mon coeur en gaige,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Plagal,Plagal+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+CAD NDLT,CAD NDLT+Authentic,None,S+S,S+S,S+T,T+None,None+T,T+S,S+B,B+Ct,Ct+S,None,None+None,None+None,"None+Inverted, Evaded","Inverted, Evaded+None","None+Displaced, Inverted, Evaded","Displaced, Inverted, Evaded+None","None+Displaced, Inverted","Displaced, Inverted+Displaced",Displaced+None,None,A+G,G+C,C+C,C+E,E+D,D+G,G+E,E+G,G+G,None,T+T,T+T,T+S,S+None,None+Ct,Ct+T,T+S,S+B,B+T,None,G,10
DC0719: Je me veulx tant a son vouloir offrir,Plagal+Authentic,Authentic+Authentic,Authentic+Authentic,None,None,None,None,None,None,None,None+S,S+S,S+S,None,None,None,None,None,None,None,None+None,None+None,None+None,None,None,None,None,None,None,None,D+G,G+B-flat,B-flat+G,None,None,None,None,None,None,None,None+T,T+T,T+T,None,None,None,None,None,None,None,G,4
DC0518: Puisqu'à t'aimer ne reçoy que tourment,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,None,None,None,None,None,None,None,T+S,S+T,T+S,None,None,None,None,None,None,None,"Displaced, Inverted+None","None+Displaced, Inverted","Displaced, Inverted+None",None,None,None,None,None,None,None,C+C,C+G,G+G,None,None,None,None,None,None,None,Ct+T,T+Ct,Ct+T,None,None,None,None,None,None,None,G,4
DC0410: Si pour amans la lune est importune,Authentic+Authentic,Authentic+Authentic,Authentic+Plagal,None,None,None,None,None,None,None,S+S,S+S,S+None,None,None,None,None,None,None,None,None+None,None+Displaced,Displaced+None,None,None,None,None,None,None,None,C+C,C+G,G+C,None,None,None,None,None,None,None,T+T,T+B,B+None,None,None,None,None,None,None,None,G,4
DC0612: Puisque voulez que de vous je m'absente,Authentic+Authentic,Authentic+Phrygian,Phrygian+Plagal,Plagal+Authentic,Authentic+Phrygian,Phrygian+Authentic,Authentic+Authentic,None,None,None,S+S,S+Ct,Ct+None,None+S,S+S,S+T,T+S,None,None,None,None+None,None+Displaced,Displaced+None,None+None,None+None,"None+Displaced, Inverted, Evaded","Displaced, Inverted, Evaded+None",None,None,None,G+G,G+D,D+D,D+B-flat,B-flat+A,A+D,D+G,None,None,None,T+T,T+B,B+None,None+T,T+T,T+Ct,Ct+T,None,None,None,G,8
DC0502: J'ay le fruit tant désiré,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Plagal,Plagal+Authentic,Authentic+Plagal,Plagal+Authentic,None,None,None,S+S,S+S,S+B,B+,+S,S+None,None+S,None,None,None,None+Incomplete,Incomplete+None,"None+Displaced, Inverted","Displaced, Inverted+None",None+None,None+None,None+None,None,None,None,B-flat+G,G+G,G+B-flat,B-flat+D,D+D,D+B-flat,B-flat+G,None,None,None,T+T,T+T,T+S,S+,+T,T+None,None+T,None,None,None,G,8
DC0706: Si me voyez face triste et dolente,Plagal+Authentic,Authentic+Authentic,Authentic+Phrygian,Phrygian+Authentic,Authentic+Authentic,None,None,None,None,None,None+S,S+T,T+S,S+Ct,Ct+S,None,None,None,None,None,None+None,None+Displaced,Displaced+Evaded,"Evaded+Displaced, Evaded","Displaced, Evaded+None",None,None,None,None,None,B-flat+G,G+B-flat,B-flat+A,A+D,D+G,None,None,None,None,None,None+T,T+B,B+T,T+T,T+T,None,None,None,None,None,G,6
DC0729: Pourquoy fais-tu à aultre chere,CadInCad+Authentic,Authentic+Authentic,Authentic+CadInCad,CadInCad+CadInCad,CadInCad+Authentic,None,None,None,None,None,S+S,S+S,S+S,S+S,S+S,None,None,None,None,None,None+None,None+None,None+Incomplete,Incomplete+None,None+None,None,None,None,None,None,C+G,G+A,A+C,C+C,C+G,None,None,None,None,None,T+T,T+T,T+T,T+T,T+T,None,None,None,None,None,G,6
DC0301: Maistre Lubin de sang rassis,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Phrygian,Phrygian+Authentic,Authentic+Authentic,None,None,None,None,S+S,S+S,S+S,S+B,B+Ct,Ct+S,None,None,None,None,"Displaced, Evaded+None",None+None,None+None,"None+Displaced, Inverted","Displaced, Inverted+Displaced",Displaced+None,None,None,None,None,D+D,D+A,A+D,D+A,A+C,C+D,None,None,None,None,Ct+T,T+T,T+T,T+S,S+B,B+T,None,None,None,None,D,7
DC0404: A tout jamais d'un vouloir immortel,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Plagal,None,None,None,None,None,S+S,S+S,S+S,S+S,S+,None,None,None,None,None,None+None,None+Evaded,Evaded+None,None+None,None+None,None,None,None,None,None,D+G,G+F,F+G,G+D,D+D,None,None,None,None,None,T+T,T+T,T+T,T+T,T+,None,None,None,None,None,G,6
DC0722: Si la roze croist sans l'espine,Authentic+Authentic,Authentic+Authentic,Authentic+Plagal,Plagal+Authentic,Authentic+Authentic,Authentic+Authentic,None,None,None,None,T+S,S+T,T+None,None+S,S+B,B+S,None,None,None,None,"Displaced, Inverted, Evaded+None","None+Displaced, Inverted, Evaded","Displaced, Inverted, Evaded+None",None+Displaced,"Displaced+Displaced, Inverted, Evaded","Displaced, Inverted, Evaded+None",None,None,None,None,C+F,F+F,F+C,C+C,C+C,C+F,None,None,None,None,Ct+T,T+Ct,Ct+None,None+Ct,Ct+Ct,Ct+T,None,None,None,None,F,7
DC0203: Un gros prieur son petit filz baisoit,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Phrygian,Phrygian+Plagal,Plagal+Phrygian,Phrygian+Authentic,Authentic+Authentic,None,S+S,S+S,S+S,S+S,S+Ct,Ct+None,None+Ct,Ct+B,B+S,None,None+None,None+None,None+None,"None+Displaced, Evaded","Displaced, Evaded+Displaced",Displaced+None,"None+Displaced, Evaded","Displaced, Evaded+Displaced, Inverted","Displaced, Inverted+None",None,B-flat+G,G+B-flat,B-flat+G,G+B-flat,B-flat+E,E+A,A+D,D+D,D+G,None,T+T,T+T,T+T,T+B,B+B,B+None,None+B,B+S,S+T,None,G,10
DC0501: C'est a moy qu'en veult ce coqu,Plagal+Authentic,Authentic+Authentic,Authentic+Plagal,Plagal+Plagal,Plagal+Authentic,None,None,None,None,None,+T,T+Ct,Ct+,+None,None+S,None,None,None,None,None,"None+Displaced, Inverted, Evaded","Displaced, Inverted, Evaded+Inverted, Displaced","Inverted, Displaced+None",None+None,None+None,None,None,None,None,None,D+D,D+G,G+G,G+A,A+D,None,None,None,None,None,+Ct,Ct+B,B+,+None,None+T,None,None,None,None,None,D,6
DC0703: Un bon vieillard qui n'avoit que le bec,Authentic+Authentic,Authentic+Phrygian,Phrygian+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,None,None,None,Ct+S,S+S,S+Ct,Ct+S,S+S,S+S,S+S,None,None,None,Displaced+None,None+None,None+Displaced,Displaced+None,None+None,None+None,None+None,None,None,None,D+G,G+A,A+D,D+B-flat,B-flat+D,D+B-flat,B-flat+G,None,None,None,B+T,T+T,T+B,B+T,T+T,T+T,T+T,None,None,None,G,8
DC0205: Un fin mary voyant sa chambriere,Plagal+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,None,None,None,None+S,S+S,S+S,S+T,T+S,S+B,B+S,None,None,None,None+None,None+None,None+None,"None+Displaced, Inverted","Displaced, Inverted+Displaced, Evaded","Displaced, Evaded+Displaced, Inverted","Displaced, Inverted+None",None,None,None,D+G,G+B-flat,B-flat+D,D+D,D+D,D+D,D+G,None,None,None,None+T,T+T,T+T,T+Ct,Ct+Ct,Ct+Ct,Ct+T,None,None,None,G,8
DC0508: Musiciens qui chantez à plaisir,Plagal+Plagal,Plagal+Authentic,Authentic+CadInCad,CadInCad+Authentic,Authentic+Phrygian,Phrygian+Authentic,None,None,None,None,+None,None+S,S+S,S+S,S+Ct,Ct+S,None,None,None,None,None+None,None+None,None+None,None+None,None+CAD NDLT,CAD NDLT+None,None,None,None,None,D+D,D+D,D+G,G+G,G+D,D+G,None,None,None,None,+None,None+T,T+T,T+T,T+B,B+T,None,None,None,None,G,7
DC0118: Vrais amateurs du plaisir de Vénus,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Phrygian,Phrygian+Authentic,Authentic+Authentic,None,None,None,S+S,S+Ct,Ct+S,S+S,S+Ct,Ct+S,S+S,None,None,None,None+None,"None+Displaced, Inverted","Displaced, Inverted+None",None+None,None+Displaced,Displaced+None,None+None,None,None,None,A+A,A+C,C+A,A+A,A+E,E+G,G+A,None,None,None,T+T,T+T,T+T,T+T,T+B,B+T,T+T,None,None,None,A,8
"DC0927: Rien plus ne quiers, ma dame me contente",Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,None,None,None,None,None,None,S+S,S+S,S+Ct,Ct+S,None,None,None,None,None,None,None+None,None+None,None+Displaced,Displaced+None,None,None,None,None,None,None,G+G,G+C,C+C,C+G,None,None,None,None,None,None,T+T,T+T,T+B,B+T,None,None,None,None,None,None,G,5
DC0123: Puisque fortune mal apprinse,Phrygian+Authentic,Authentic+Authentic,Authentic+CAD NDLT,CAD NDLT+Authentic,None,None,None,None,None,None,S+S,S+S,S+Ct,Ct+S,None,None,None,None,None,None,Displaced+None,None+None,None+None,None+None,None,None,None,None,None,None,A+F,F+C,C+F,F+F,None,None,None,None,None,None,B+T,T+T,T+B,B+T,None,None,None,None,None,None,F,5
DC0119: J'ay d'un costé l'honneur tant estimé,Authentic+Authentic,Authentic+Authentic,Authentic+Plagal,Plagal+Authentic,Authentic+Authentic,None,None,None,None,None,S+S,S+S,S+None,None+S,S+S,None,None,None,None,None,Incomplete+None,"None+Inverted, Incomplete","Inverted, Incomplete+None",None+None,None+None,None,None,None,None,None,C+F,F+C,C+D,D+G,G+F,None,None,None,None,None,T+T,T+T,T+None,None+T,T+T,None,None,None,None,None,F,6
"DC0224: Sur la verdure du pré florissant, m'amye ouy",Authentic+Plagal,Plagal+Authentic,Authentic+Plagal,None,None,None,None,None,None,None,S+None,None+S,S+None,None,None,None,None,None,None,None,None+None,None+None,None+None,None,None,None,None,None,None,None,C+F,F+C,C+F,None,None,None,None,None,None,None,T+None,None+T,T+None,None,None,None,None,None,None,None,F,4
DC0310: Celer ne puis ny dire le tourment,Phrygian+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+CadInCad,CadInCad+Authentic,None,None,None,None,None,T+S,S+S,S+S,S+T,T+S,None,None,None,None,None,Displaced+None,None+None,None+None,"None+Displaced, Inverted, Evaded","Displaced, Inverted, Evaded+None",None,None,None,None,None,D+G,G+B-flat,B-flat+D,D+D,D+G,None,None,None,None,None,B+T,T+T,T+T,T+Ct,Ct+T,None,None,None,None,None,G,6
DC0603: Or à ce jour le verd may se termine,Authentic+Plagal,Plagal+Authentic,Authentic+Plagal,Plagal+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,None,None,None,S+None,None+T,T+None,None+S,S+S,S+S,S+S,None,None,None,None+None,"None+Displaced, Inverted, Evaded","Displaced, Inverted, Evaded+None",None+None,None+None,None+None,None+None,None,None,None,A+A,A+A,A+A,A+D,D+F,F+A,A+D,None,None,None,T+None,None+Ct,Ct+None,None+T,T+T,T+T,T+T,None,None,None,D,8
DC0212: Au feu d'amour qui ne se peult estaindre,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,None,None,None,None,None,None,None,T+S,S+S,S+Ct,None,None,None,None,None,None,None,Displaced+None,None+None,None+Displaced,None,None,None,None,None,None,None,F+F,F+G,G+C,None,None,None,None,None,None,None,B+T,T+T,T+B,None,None,None,None,None,None,None,C,4
DC0401: Monsieur l'Abbé et monsieur son vallet,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Plagal,Plagal+Authentic,None,None,None,None,S+S,S+S,S+S,S+S,S+,+S,None,None,None,None,None+None,None+None,None+None,None+None,None+None,None+None,None,None,None,None,D+G,G+D,D+G,G+G,G+D,D+G,None,None,None,None,T+T,T+T,T+T,T+T,T+,+T,None,None,None,None,G,7
"DC0507: Long temps y a, innocente pucelle",Authentic+Authentic,Authentic+Authentic,Authentic+Plagal,Plagal+Authentic,Authentic+Authentic,None,None,None,None,None,S+S,S+S,S+,+S,S+S,None,None,None,None,None,None+None,None+None,None+None,None+None,None+None,None,None,None,None,None,D+G,G+B-flat,B-flat+D,D+D,D+G,None,None,None,None,None,T+T,T+T,T+,+T,T+T,None,None,None,None,None,D,6
DC0727: Quand tant me mectz devant mes yeulx,Authentic+Authentic,Authentic+Authentic,Authentic+Phrygian,Phrygian+Phrygian,Phrygian+Authentic,Authentic+Authentic,None,None,None,None,Ct+T,T+Ct,Ct+T,T+Ct,Ct+T,T+S,None,None,None,None,Displaced+Displaced,Displaced+Displaced,Displaced+Inverted,Inverted+Displaced,"Displaced+Displaced, Inverted, Evaded","Displaced, Inverted, Evaded+None",None,None,None,None,C+F,F+F,F+A,A+A,A+C,C+F,None,None,None,None,B+B,B+B,B+S,S+B,B+Ct,Ct+T,None,None,None,None,F,7
DC0728: Malade si fut ma mignonne,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,None,None,None,None,None,S+Ct,Ct+T,T+S,S+S,S+S,None,None,None,None,None,"None+Displaced, Evaded","Displaced, Evaded+Displaced, Inverted, Incomplete","Displaced, Inverted, Incomplete+Displaced",Displaced+None,None+None,None,None,None,None,None,G+G,G+D,D+D,D+G,G+G,None,None,None,None,None,T+T,T+Ct,Ct+Ct,Ct+T,T+T,None,None,None,None,None,G,6
DC0512: Quand je voy ma mignonne rire,Authentic+Plagal,Plagal+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,None,None,None,None,S+,+B,B+B,B+Ct,Ct+S,S+S,None,None,None,None,Evaded+None,"None+Displaced, Inverted","Displaced, Inverted+Displaced, Inverted","Displaced, Inverted+Displaced, Evaded","Displaced, Evaded+Evaded",Evaded+None,None,None,None,None,D+G,G+D,D+D,D+E,E+D,D+G,None,None,None,None,T+,+T,T+Ct,Ct+T,T+T,T+T,None,None,None,None,D,7
DC0302: Sans avoir faict nul desplaisir,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Phrygian,Phrygian+Authentic,Authentic+Authentic,None,None,None,None,S+T,T+T,T+S,S+S,S+S,S+S,None,None,None,None,None+Displaced,"Displaced+Displaced, Inverted","Displaced, Inverted+None",None+None,None+None,None+None,None,None,None,None,A+A,A+D,D+F,F+E,E+A,A+D,None,None,None,None,T+B,B+Ct,Ct+T,T+T,T+T,T+T,None,None,None,None,D,7
DC0103: O combien je suis fortuné,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,None,None,None,None,None,T+S,S+T,T+S,S+T,T+S,None,None,None,None,None,Displaced+None,None+Displaced,Displaced+None,None+Displaced,Displaced+None,None,None,None,None,None,D+G,G+B-flat,B-flat+B-flat,B-flat+B-flat,B-flat+G,None,None,None,None,None,B+T,T+B,B+T,T+B,B+T,None,None,None,None,None,G,6
DC0514: Puisque tu veulx mettre fin à ta plaincte,Authentic+Authentic,Authentic+Phrygian,Phrygian+Authentic,Authentic+Authentic,Authentic+Plagal,None,None,None,None,None,S+S,S+Ct,Ct+S,S+Ct,Ct+None,None,None,None,None,None,None+None,None+Displaced,Displaced+None,None+Displaced,Displaced+None,None,None,None,None,None,C+A,A+E,E+A,A+G,G+E,None,None,None,None,None,T+T,T+B,B+T,T+B,B+None,None,None,None,None,None,E,6
DC0111: L'autre jour jouer m'aloye/ Parmi ces champs ,CAD NDLT+Plagal,Plagal+Plagal,Plagal+Authentic,Authentic+Authentic,None,None,None,None,None,None,Ct+None,None+None,None+Ct,Ct+S,None,None,None,None,None,None,Displaced+None,None+None,"None+Displaced, Evaded","Displaced, Evaded+None",None,None,None,None,None,None,C+G,G+C,C+D,D+G,None,None,None,None,None,None,B+None,None+None,None+S,S+T,None,None,None,None,None,None,G,5
"DC0319: Triste et marry, pensif, melancolique",Phrygian+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Plagal,Plagal+Plagal,Plagal+Authentic,Authentic+Authentic,Authentic+Plagal,None,None,T+B,B+T,T+B,B+None,None+,+B,B+B,B+None,None,None,"Displaced, Inverted+Displaced, Inverted","Displaced, Inverted+Displaced, Inverted, Evaded","Displaced, Inverted, Evaded+Displaced, Inverted","Displaced, Inverted+None",None+None,"None+Displaced, Inverted","Displaced, Inverted+Displaced, Inverted","Displaced, Inverted+None",None,None,A+C,C+C,C+C,C+A,A+A,A+C,C+C,C+F,None,None,B+Ct,Ct+Ct,Ct+Ct,Ct+None,None+,+Ct,Ct+Ct,Ct+None,None,None,F,9
"DC0713: Las, si tu veulx en aultre part aymer",Authentic+Authentic,Authentic+Phrygian,Phrygian+Authentic,Authentic+Phrygian,Phrygian+Authentic,None,None,None,None,None,S+S,S+B,B+S,S+Ct,Ct+S,None,None,None,None,None,None+None,"None+Displaced, Inverted","Displaced, Inverted+None",None+Displaced,Displaced+None,None,None,None,None,None,B-flat+G,G+D,D+B-flat,B-flat+D,D+G,None,None,None,None,None,T+T,T+Ct,Ct+T,T+B,B+T,None,None,None,None,None,G,6
"DC0716: En ce verd moys, temps opportun",Plagal+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Plagal,Plagal+Phrygian,Phrygian+Authentic,None,None,None,None,None+S,S+S,S+T,T+None,None+B,B+S,None,None,None,None,None+None,None+None,"None+Displaced, Inverted","Displaced, Inverted+None","None+Displaced, Inverted","Displaced, Inverted+None",None,None,None,None,D+D,D+B-flat,B-flat+D,D+D,D+A,A+G,None,None,None,None,None+T,T+T,T+Ct,Ct+None,None+S,S+T,None,None,None,None,G,7
DC0412: Un galland le fit et refit,Authentic+Authentic,Authentic+Authentic,Authentic+Plagal,Plagal+Authentic,Authentic+Authentic,Authentic+Authentic,None,None,None,None,S+S,S+S,S+None,None+S,S+Ct,Ct+S,None,None,None,None,Incomplete+None,None+None,None+None,"None+Displaced, Incomplete, Evaded","Displaced, Incomplete, Evaded+Inverted, Incomplete, Evaded, Displaced","Inverted, Incomplete, Evaded, Displaced+Evaded",None,None,None,None,C+G,G+C,C+G,G+C,C+G,G+C,None,None,None,None,T+T,T+T,T+None,None+Ct,Ct+S,S+T,None,None,None,None,C,7
DC0409: Jamais amour n'aura ceste puissance,Authentic+Authentic,Authentic+Plagal,Plagal+Authentic,None,None,None,None,None,None,None,S+S,S+,+Ct,None,None,None,None,None,None,None,None+None,None+None,"None+Displaced, Inverted",None,None,None,None,None,None,None,B-flat+G,G+D,D+D,None,None,None,None,None,None,None,T+T,T+,+S,None,None,None,None,None,None,None,D,4
DC0723: Avant que partiez de ce lieu,Authentic+Plagal,Plagal+Authentic,Authentic+Phrygian,Phrygian+Authentic,Authentic+Authentic,None,None,None,None,None,T+None,None+T,T+S,S+T,T+S,None,None,None,None,None,Displaced+None,None+Incomplete,Incomplete+None,None+Inverted,Inverted+None,None,None,None,None,None,F+A,A+C,C+A,A+C,C+F,None,None,None,None,None,B+None,None+S,S+T,T+S,S+T,None,None,None,None,None,F,6
DC0610: Un bon vieillard qui n'avoit que le bec,Authentic+Authentic,Authentic+Plagal,Plagal+Plagal,Plagal+Authentic,None,None,None,None,None,None,S+S,S+None,None+None,None+S,None,None,None,None,None,None,None+None,None+Displaced,Displaced+None,None+None,None,None,None,None,None,None,G+D,D+B-flat,B-flat+D,D+G,None,None,None,None,None,None,T+T,T+None,None+None,None+T,None,None,None,None,None,None,G,5
DC0206: Ma mère veult que je file,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,None,None,None,None,None,S+S,S+S,S+T,T+S,S+S,None,None,None,None,None,None+None,None+None,"None+Displaced, Inverted, Evaded","Displaced, Inverted, Evaded+None",None+None,None,None,None,None,None,G+G,G+B-flat,B-flat+D,D+D,D+G,None,None,None,None,None,T+T,T+T,T+Ct,Ct+T,T+T,None,None,None,None,None,G,6
DC0107: La volunté si longtemps endormie,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,None,None,None,None,None,T+S,S+S,S+S,S+T,T+S,None,None,None,None,None,"Displaced, Inverted, Evaded+None",None+None,None+None,"None+Displaced, Inverted, Evaded","Displaced, Inverted, Evaded+None",None,None,None,None,None,B-flat+G,G+G,G+G,G+B-flat,B-flat+G,None,None,None,None,None,Ct+T,T+T,T+T,T+Ct,Ct+T,None,None,None,None,None,G,6
DC0121: Mauldict soit-il qui jamays aymera,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Phrygian,Phrygian+CAD NDLT,CAD NDLT+Authentic,None,None,None,Ct+S,S+Ct,Ct+Ct,Ct+S,S+S,S+Ct,Ct+S,None,None,None,Displaced+None,None+Displaced,"Displaced+Displaced, Inverted, Evaded","Displaced, Inverted, Evaded+None",None+None,None+Displaced,Displaced+None,None,None,None,C+F,F+F,F+C,C+G,G+A,A+C,C+F,None,None,None,B+T,T+B,B+S,S+T,T+T,T+B,B+T,None,None,None,F,8
"DC0113: Helas mon cœur (mon œil), n'as tu pas trop grand tort",CadInCad+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,None,None,None,T+S,S+S,S+Ct,Ct+S,S+Ct,Ct+T,T+S,None,None,None,"Displaced, Incomplete, Inverted+None",None+Displaced,Displaced+None,None+None,"None+Displaced, Inverted, Evaded","Displaced, Inverted, Evaded+Displaced, Incomplete, Inverted","Displaced, Incomplete, Inverted+None",None,None,None,F+D,D+A,A+A,A+F,F+A,A+D,D+D,None,None,None,Ct+T,T+Ct,Ct+B,B+T,T+S,S+Ct,Ct+T,None,None,None,D,8
DC0614: Mon ami est en grace si parfaict,Authentic+CAD NDLT,CAD NDLT+CAD NDLT,CAD NDLT+Authentic,Authentic+Plagal,Plagal+Plagal,None,None,None,None,None,S+B,B+B,B+S,S+None,None+None,None,None,None,None,None,"Evaded+Inverted, Displaced","Inverted, Displaced+Inverted, Displaced","Inverted, Displaced+None",None+None,None+None,None,None,None,None,None,C+G,G+G,G+D,D+C,C+C,None,None,None,None,None,T+Ct,Ct+Ct,Ct+T,T+None,None+None,None,None,None,None,None,C,6
DC0322: Or sus or sus qu'on se resveille,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,None,None,None,None,None,None,None,S+S,S+S,S+S,None,None,None,None,None,None,None,None+None,None+None,None+None,None,None,None,None,None,None,None,G+C,C+A,A+G,None,None,None,None,None,None,None,T+T,T+T,T+T,None,None,None,None,None,None,None,G,4
DC0913: Tant plus sur toy sont arrestez mes yeulx,Phrygian+Authentic,Authentic+Authentic,Authentic+Authentic,None,None,None,None,None,None,None,Ct+S,S+S,S+Ct,None,None,None,None,None,None,None,Displaced+None,None+None,"None+Displaced, Incomplete",None,None,None,None,None,None,None,D+G,G+B-flat,B-flat+D,None,None,None,None,None,None,None,B+T,T+T,T+None,None,None,None,None,None,None,None,D,4
"DC0317: En l'eau, en l'eau jette toy vistement",Plagal+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,None,None,None,None,None,None,None+S,S+S,S+T,T+T,None,None,None,None,None,None,None+None,None+None,None+Displaced,"Displaced+Displaced, Inverted, Evaded",None,None,None,None,None,None,D+F,F+G,G+C,C+F,None,None,None,None,None,None,None+T,T+T,T+B,B+Ct,None,None,None,None,None,None,F,5
DC0718: Petit jardin a Vénus consacré,Authentic+Authentic,Authentic+Authentic,Authentic+Plagal,Plagal+Authentic,None,None,None,None,None,None,S+S,S+S,S+None,None+S,None,None,None,None,None,None,None+None,None+None,None+None,None+None,None,None,None,None,None,None,B-flat+G,G+D,D+D,D+G,None,None,None,None,None,None,T+T,T+T,T+None,None+T,None,None,None,None,None,None,G,5
DC0623: Vous souvient-il ; ma mignonne,Plagal+Authentic,Authentic+Authentic,Authentic+Authentic,None,None,None,None,None,None,None,None+S,S+S,S+S,None,None,None,None,None,None,None,None+None,None+None,None+None,None,None,None,None,None,None,None,D+G,G+C,C+G,None,None,None,None,None,None,None,None+T,T+T,T+T,None,None,None,None,None,None,None,G,4
